"행정구역","2023년12월_계_총인구수","2023년12월_계_연령구간인구수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상","2023년12월_남_총인구수","2023년12월_남_연령구간인구수","2023년12월_남_0~9세","2023년12월_남_10~19세","2023년12월_남_20~29세","2023년12월_남_30~39세","2023년12월_남_40~49세","2023년12월_남_50~59세","2023년12월_남_60~69세","2023년12월_남_70~79세","2023년12월_남_80~89세","2023년12월_남_90~99세","2023년12월_남_100세 이상","2023년12월_여_총인구수","2023년12월_여_연령구간인구수","2023년12월_여_0~9세","2023년12월_여_10~19세","2023년12월_여_20~29세","2023년12월_여_30~39세","2023년12월_여_40~49세","2023년12월_여_50~59세","2023년12월_여_60~69세","2023년12월_여_70~79세","2023년12월_여_80~89세","2023년12월_여_90~99세","2023년12월_여_100세 이상"
"전라남도 무안군 망운면(4684035000)","1,853","1,853","47","70","98","103","159","321","477","351","193","31","3","962","962","28","37","50","60","108","194","251","168","60","6","0","891","891","19","33","48","43","51","127","226","183","133","25","3"
"전라남도 무안군 해제면(4684036000)","4,621","4,621","95","178","260","189","372","792","1,121","904","632","75","3","2,347","2,347","56","96","160","116","234","475","570","434","196","10","0","2,274","2,274","39","82","100","73","138","317","551","470","436","65","3"
"전라남도 무안군 운남면(4684037000)","2,768","2,768","40","150","182","133","232","500","720","473","300","38","0","1,427","1,427","21","72","89","94","142","305","373","230","95","6","0","1,341","1,341","19","78","93","39","90","195","347","243","205","32","0"
"전라남도 함평군 (4686000000)","30,601","30,601","984","1,853","2,096","1,786","2,954","5,229","6,532","4,703","3,835","610","19","15,505","15,505","496","995","1,222","968","1,732","3,113","3,543","2,092","1,219","124","1","15,096","15,096","488","858","874","818","1,222","2,116","2,989","2,611","2,616","486","18"
"전라남도 함평군 함평읍(4686025000)","8,306","8,306","424","750","733","633","1,043","1,426","1,418","997","776","104","2","4,100","4,100","206","393","419","308","546","791","727","441","252","17","0","4,206","4,206","218","357","314","325","497","635","691","556","524","87","2"
"전라남도 함평군 손불면(4686031000)","3,188","3,188","86","146","158","137","287","524","696","616","465","71","2","1,634","1,634","40","82","90","82","195","328","386","257","156","17","1","1,554","1,554","46","64","68","55","92","196","310","359","309","54","1"
"전라남도 함평군 신광면(4686032000)","1,720","1,720","43","57","98","87","135","262","441","295","252","48","2","866","866","23","28","51","52","91","151","231","142","88","9","0","854","854","20","29","47","35","44","111","210","153","164","39","2"
"전라남도 함평군 학교면(4686033000)","3,532","3,532","78","177","207","169","302","586","807","581","523","97","5","1,782","1,782","40","102","114","90","187","366","439","259","161","24","0","1,750","1,750","38","75","93","79","115","220","368","322","362","73","5"
"전라남도 함평군 엄다면(4686034000)","1,868","1,868","49","74","125","82","152","350","411","291","285","48","1","916","916","23","33","80","50","94","213","222","115","80","6","0","952","952","26","41","45","32","58","137","189","176","205","42","1"
"전라남도 함평군 대동면(4686035000)","2,982","2,982","62","210","217","171","215","520","638","485","402","60","2","1,559","1,559","28","131","135","100","118","312","358","232","135","10","0","1,423","1,423","34","79","82","71","97","208","280","253","267","50","2"
"전라남도 함평군 나산면(4686036000)","2,726","2,726","60","122","149","149","231","436","697","452","357","71","2","1,361","1,361","30","61","87","83","137","268","385","198","104","8","0","1,365","1,365","30","61","62","66","94","168","312","254","253","63","2"
"전라남도 함평군 해보면(4686037000)","2,711","2,711","64","135","176","161","247","490","661","391","333","52","1","1,379","1,379","36","66","98","80","130","295","366","178","115","15","0","1,332","1,332","28","69","78","81","117","195","295","213","218","37","1"
"전라남도 함평군 월야면(4686038000)","3,568","3,568","118","182","233","197","342","635","763","595","442","59","2","1,908","1,908","70","99","148","123","234","389","429","270","128","18","0","1,660","1,660","48","83","85","74","108","246","334","325","314","41","2"
"전라남도 영광군 (4687000000)","51,750","51,750","3,402","3,912","4,452","4,505","6,064","8,338","9,147","6,692","4,636","574","28","25,874","25,874","1,690","2,019","2,498","2,303","3,371","4,663","4,778","2,956","1,477","114","5","25,876","25,876","1,712","1,893","1,954","2,202","2,693","3,675","4,369","3,736","3,159","460","23"
