"행정구역","2024년12월_전체세대","2024년12월_1인세대","2024년12월_2인세대","2024년12월_3인세대","2024년12월_4인세대","2024년12월_5인세대","2024년12월_6인세대","2024년12월_7인세대","2024년12월_8인세대","2024년12월_9인세대","2024년12월_10인이상세대"
"서울특별시 광진구 능동(1121578000)","6,452","3,957","1,279","665","414","93","36","8","0","0","0"
"서울특별시 광진구 광장동(1121581000)","11,863","2,345","2,130","3,287","3,399","548","106","35","12","1","0"
"서울특별시 광진구 자양제1동(1121582000)","12,090","6,777","2,570","1,467","1,015","207","35","14","4","1","0"
"서울특별시 광진구 자양제2동(1121583000)","10,953","4,547","2,619","2,046","1,357","298","66","16","4","0","0"
"서울특별시 광진구 자양제3동(1121584000)","10,998","3,258","2,713","2,490","2,020","383","94","27","10","2","1"
"서울특별시 광진구 자양제4동(1121584700)","10,944","6,068","2,398","1,418","836","172","42","5","4","0","1"
"서울특별시 광진구 구의제1동(1121585000)","13,191","7,812","2,589","1,537","980","220","39","11","1","1","1"
"서울특별시 광진구 구의제2동(1121586000)","11,471","4,474","2,832","2,125","1,578","353","81","19","5","0","4"
"서울특별시 광진구 구의제3동(1121587000)","12,040","4,408","2,726","2,489","1,917","383","91","13","9","2","2"
"서울특별시 동대문구 (1123000000)","172,840","86,681","36,719","25,973","18,246","4,054","868","202","66","18","13"
"서울특별시 동대문구 용신동(1123053600)","21,879","12,838","4,141","2,672","1,782","345","81","16","4","0","0"
"서울특별시 동대문구 제기동(1123054500)","13,086","7,718","2,599","1,494","986","217","50","14","3","4","1"
"서울특별시 동대문구 전농제1동(1123056000)","16,531","8,056","3,532","2,656","1,812","366","77","22","9","0","1"
"서울특별시 동대문구 전농제2동(1123057000)","7,464","2,367","1,975","1,590","1,178","281","57","12","2","2","0"
"서울특별시 동대문구 답십리제1동(1123060000)","12,992","5,455","2,952","2,449","1,682","365","61","17","9","1","1"
"서울특별시 동대문구 답십리제2동(1123061000)","12,391","4,744","3,261","2,356","1,564","356","89","14","6","1","0"
"서울특별시 동대문구 장안제1동(1123065000)","18,321","8,537","4,183","2,979","2,018","473","98","23","6","4","0"
"서울특별시 동대문구 장안제2동(1123066000)","14,647","5,561","3,483","2,843","2,154","454","111","27","9","2","3"
"서울특별시 동대문구 청량리동(1123070500)","10,059","5,408","2,300","1,301","782","208","40","14","2","1","3"
"서울특별시 동대문구 회기동(1123071000)","6,552","4,597","900","532","413","85","20","3","1","0","1"
"서울특별시 동대문구 휘경제1동(1123072000)","7,583","4,546","1,336","867","638","144","38","8","3","2","1"
"서울특별시 동대문구 휘경제2동(1123073000)","12,742","6,936","2,428","1,707","1,311","285","55","10","7","1","2"
"서울특별시 동대문구 이문제1동(1123074000)","10,075","6,661","1,557","949","688","167","39","9","5","0","0"
"서울특별시 동대문구 이문제2동(1123075000)","8,518","3,257","2,072","1,578","1,238","308","52","13","0","0","0"
"서울특별시 중랑구 (1126000000)","188,651","86,282","46,782","30,241","19,835","4,338","908","203","41","14","7"
"서울특별시 중랑구 면목제2동(1126052000)","12,159","5,987","3,013","1,785","1,092","214","52","10","5","1","0"
"서울특별시 중랑구 면목제4동(1126054000)","8,918","4,065","2,258","1,402","932","201","45","13","0","1","1"
"서울특별시 중랑구 면목제5동(1126055000)","6,344","2,224","1,719","1,316","881","170","20","10","2","2","0"
"서울특별시 중랑구 면목본동(1126056500)","17,812","9,489","4,212","2,437","1,336","270","58","7","1","1","1"
"서울특별시 중랑구 면목제7동(1126057000)","10,512","4,762","2,727","1,676","1,077","213","46","7","4","0","0"
"서울특별시 중랑구 면목제3.8동(1126057500)","12,724","6,378","3,217","1,795","1,052","226","46","8","1","1","0"
"서울특별시 중랑구 상봉제1동(1126058000)","10,081","3,544","2,610","2,071","1,501","290","52","11","1","1","0"
"서울특별시 중랑구 상봉제2동(1126059000)","13,111","8,500","2,556","1,225","658","125","35","10","0","2","0"
"서울특별시 중랑구 중화제1동(1126060000)","8,858","3,680","2,415","1,563","945","211","35","6","2","0","1"
"서울특별시 중랑구 중화제2동(1126061000)","13,422","7,558","3,145","1,596","876","184","46","13","3","0","1"
"서울특별시 중랑구 묵제1동(1126062000)","14,912","5,684","3,665","2,803","2,097","519","111","27","5","1","0"
"서울특별시 중랑구 묵제2동(1126063000)","9,182","4,329","2,404","1,332","857","213","36","9","2","0","0"
"서울특별시 중랑구 망우본동(1126065500)","18,855","8,725","4,387","3,094","2,105","432","84","23","3","1","1"
"서울특별시 중랑구 망우제3동(1126066000)","8,166","4,088","2,006","1,225","664","146","28","6","2","1","0"
"서울특별시 중랑구 신내1동(1126068000)","14,723","4,000","3,954","3,187","2,669","713","157","33","6","2","2"
"서울특별시 중랑구 신내2동(1126069000)","8,872","3,269","2,494","1,734","1,093","211","57","10","4","0","0"
"서울특별시 성북구 (1129000000)","196,485","83,576","44,637","34,647","26,288","5,743","1,181","294","74","21","24"
"서울특별시 성북구 성북동(1129052500)","8,086","4,099","1,811","1,142","754","193","58","15","8","0","6"
