"행정구역","2023년12월_계_총세대수","2023년12월_계_연령구간세대수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상","2023년12월_남_총세대수","2023년12월_남_연령구간세대수","2023년12월_남_0~9세","2023년12월_남_10~19세","2023년12월_남_20~29세","2023년12월_남_30~39세","2023년12월_남_40~49세","2023년12월_남_50~59세","2023년12월_남_60~69세","2023년12월_남_70~79세","2023년12월_남_80~89세","2023년12월_남_90~99세","2023년12월_남_100세 이상","2023년12월_여_총세대수","2023년12월_여_연령구간세대수","2023년12월_여_0~9세","2023년12월_여_10~19세","2023년12월_여_20~29세","2023년12월_여_30~39세","2023년12월_여_40~49세","2023년12월_여_50~59세","2023년12월_여_60~69세","2023년12월_여_70~79세","2023년12월_여_80~89세","2023년12월_여_90~99세","2023년12월_여_100세 이상"
"인천광역시 서구 오류왕길동(2826072000)","3,228","3,228","3","2","235","473","520","698","709","336","203","48","1","1,964","1,964","1","2","132","316","389","485","444","139","51","5","0","1,264","1,264","2","0","103","157","131","213","265","197","152","43","1"
"인천광역시 서구 마전동(2826073000)","2,037","2,037","1","2","260","400","354","370","311","174","124","40","1","1,105","1,105","0","0","140","256","249","212","156","55","29","8","0","932","932","1","2","120","144","105","158","155","119","95","32","1"
"인천광역시 서구 아라동(2826074000)","5,518","5,518","2","0","737","2,012","1,107","673","603","299","73","12","0","2,904","2,904","2","0","318","1,251","664","319","218","107","21","4","0","2,614","2,614","0","0","419","761","443","354","385","192","52","8","0"
"인천광역시 강화군 (2871000000)","15,552","15,552","3","14","639","1,028","1,297","2,832","4,327","2,863","2,108","429","12","7,776","7,776","0","9","400","660","856","1,701","2,350","1,226","500","73","1","7,776","7,776","3","5","239","368","441","1,131","1,977","1,637","1,608","356","11"
"인천광역시 강화군 강화읍(2871025000)","4,498","4,498","0","5","289","397","473","846","1,109","741","546","89","3","2,145","2,145","0","4","180","250","305","505","507","265","112","17","0","2,353","2,353","0","1","109","147","168","341","602","476","434","72","3"
"인천광역시 강화군 선원면(2871031000)","1,395","1,395","0","3","83","97","139","265","394","226","155","30","3","700","700","0","2","60","62","84","150","211","96","33","2","0","695","695","0","1","23","35","55","115","183","130","122","28","3"
"인천광역시 강화군 불은면(2871032000)","1,336","1,336","1","1","45","88","76","228","393","259","187","57","1","676","676","0","0","23","55","51","143","221","136","41","6","0","660","660","1","1","22","33","25","85","172","123","146","51","1"
"인천광역시 강화군 길상면(2871033000)","1,634","1,634","0","1","54","103","169","316","529","271","154","35","2","858","858","0","0","34","67","110","189","284","118","47","9","0","776","776","0","1","20","36","59","127","245","153","107","26","2"
"인천광역시 강화군 화도면(2871034000)","1,223","1,223","0","0","24","76","106","213","387","242","146","29","0","632","632","0","0","14","47","70","120","214","116","42","9","0","591","591","0","0","10","29","36","93","173","126","104","20","0"
"인천광역시 강화군 양도면(2871035000)","981","981","0","2","24","49","60","203","255","197","149","41","1","491","491","0","1","11","39","44","124","142","86","37","7","0","490","490","0","1","13","10","16","79","113","111","112","34","1"
"인천광역시 강화군 내가면(2871036000)","776","776","0","1","22","32","59","117","216","172","135","22","0","360","360","0","1","10","19","35","72","117","79","25","2","0","416","416","0","0","12","13","24","45","99","93","110","20","0"
"인천광역시 강화군 하점면(2871037000)","937","937","1","0","38","55","51","143","255","199","165","29","1","468","468","0","0","27","33","37","83","159","82","41","5","1","469","469","1","0","11","22","14","60","96","117","124","24","0"
"인천광역시 강화군 양사면(2871038000)","491","491","0","0","8","15","19","93","148","98","96","14","0","251","251","0","0","8","10","9","58","94","44","27","1","0","240","240","0","0","0","5","10","35","54","54","69","13","0"
"인천광역시 강화군 송해면(2871039000)","702","702","0","0","11","37","57","118","200","126","127","25","1","350","350","0","0","6","21","41","71","123","56","26","6","0","352","352","0","0","5","16","16","47","77","70","101","19","1"
"인천광역시 강화군 교동면(2871040000)","720","720","0","0","12","42","39","131","184","157","130","25","0","376","376","0","0","9","31","28","86","111","70","34","7","0","344","344","0","0","3","11","11","45","73","87","96","18","0"
"인천광역시 강화군 삼산면(2871041000)","627","627","1","0","12","26","39","130","185","129","83","22","0","333","333","0","0","6","20","32","78","116","56","24","1","0","294","294","1","0","6","6","7","52","69","73","59","21","0"
"인천광역시 강화군 서도면(2871042000)","121","121","0","1","8","8","6","15","35","18","21","9","0","65","65","0","1","4","4","6","12","24","7","6","1","0","56","56","0","0","4","4","0","3","11","11","15","8","0"
"인천광역시 강화군 서도면볼음출장소(2871042500)","111","111","0","0","9","3","4","14","37","28","14","2","0","71","71","0","0","8","2","4","10","27","15","5","0","0","40","40","0","0","1","1","0","4","10","13","9","2","0"
"인천광역시 옹진군 (2872000000)","7,667","7,667","1","40","1,349","789","853","1,254","1,832","887","529","126","7","5,049","5,049","1","35","1,146","651","675","881","1,134","389","119","18","0","2,618","2,618","0","5","203","138","178","373","698","498","410","108","7"
"인천광역시 옹진군 북도면(2872031000)","363","363","0","0","10","23","36","53","126","73","29","11","2","204","204","0","0","5","18","25","33","76","34","11","2","0","159","159","0","0","5","5","11","20","50","39","18","9","2"
"인천광역시 옹진군 북도면장봉출장소(2872031500)","296","296","0","0","15","15","32","62","84","55","24","9","0","155","155","0","0","10","11","20","37","50","21","5","1","0","141","141","0","0","5","4","12","25","34","34","19","8","0"
"인천광역시 옹진군 백령면(2872033000)","1,842","1,842","0","19","601","245","201","216","276","145","107","31","1","1,313","1,313","0","17","528","205","166","158","163","55","16","5","0","529","529","0","2","73","40","35","58","113","90","91","26","1"
"인천광역시 옹진군 대청면(2872034000)","519","519","0","5","109","66","69","75","92","53","42","7","1","351","351","0","5","91","53","61","56","58","16","10","1","0","168","168","0","0","18","13","8","19","34","37","32","6","1"
"인천광역시 옹진군 대청면소청출장소(2872034500)","130","130","0","0","32","8","11","16","28","23","10","2","0","91","91","0","0","30","7","8","14","22","9","1","0","0","39","39","0","0","2","1","3","2","6","14","9","2","0"
"인천광역시 옹진군 덕적면(2872035000)","749","749","0","2","43","27","52","139","241","130","93","22","0","436","436","0","2","28","21","41","97","164","58","22","3","0","313","313","0","0","15","6","11","42","77","72","71","19","0"
"인천광역시 옹진군 영흥면(2872036000)","2,128","2,128","0","4","148","226","263","454","633","260","121","18","1","1,353","1,353","0","1","114","181","196","307","395","121","34","4","0","775","775","0","3","34","45","67","147","238","139","87","14","1"
"인천광역시 옹진군 자월면(2872037000)","360","360","0","0","15","22","41","64","104","66","39","8","1","204","204","0","0","10","14","32","49","57","36","6","0","0","156","156","0","0","5","8","9","15","47","30","33","8","1"
"인천광역시 옹진군 자월면이작출장소(2872037500)","137","137","0","0","4","7","11","24","43","20","21","6","1","74","74","0","0","2","6","7","18","25","11","5","0","0","63","63","0","0","2","1","4","6","18","9","16","6","1"
"인천광역시 옹진군 연평면(2872038000)","1,143","1,143","1","10","372","150","137","151","205","62","43","12","0","868","868","1","10","328","135","119","112","124","28","9","2","0","275","275","0","0","44","15","18","39","81","34","34","10","0"
"광주광역시  (2900000000)","270,682","270,682","73","831","44,526","46,235","37,644","44,922","47,289","28,416","18,030","2,645","71","136,588","136,588","41","346","22,108","29,193","24,713","25,874","21,235","9,048","3,601","421","8","134,094","134,094","32","485","22,418","17,042","12,931","19,048","26,054","19,368","14,429","2,224","63"
"광주광역시 동구 (2911000000)","27,392","27,392","3","139","5,827","4,300","3,002","3,853","4,687","3,118","2,128","327","8","13,538","13,538","0","53","2,852","2,582","1,916","2,246","2,253","1,087","479","68","2","13,854","13,854","3","86","2,975","1,718","1,086","1,607","2,434","2,031","1,649","259","6"
"광주광역시 동구 충장동(2911052500)","3,515","3,515","0","26","1,387","680","303","356","385","251","106","21","0","1,736","1,736","0","9","496","354","190","252","245","144","37","9","0","1,779","1,779","0","17","891","326","113","104","140","107","69","12","0"
