기준 일자,정류소 명,정류소 번호,정류소 ID,권역,행정동 명,X 좌표,위도,Y 좌표,경도
20260228,가좌테니스장,37454,163000454,미추홀구,주안5동,171461.597,126.6781629,441396.3446,37.47430778
20260228,가좌테니스장,37457,163000457,미추홀구,주안5동,171480.9518,126.6783812,441408.7217,37.4744199
20260228,가좌현대아파트,42130,168000130,서구,가좌2동,172113.6664,126.6854378,443942.0455,37.49726416
20260228,가좌현대아파트,42133,168000133,서구,가좌3동,172123.3661,126.6855457,443988.86,37.49768625
20260228,가좌홈플러스(쌍마아파트),42101,168000101,서구,가좌1동,170921.7104,126.6719514,444129.299,37.49891446
20260228,가좌홈플러스(쌍마아파트),42103,168000103,서구,가좌1동,170902.0694,126.6717305,444098.0771,37.49863253
20260228,가좌환경사업소,42631,168000631,서구,가좌1동,168786.2545,126.647807,444027.0753,37.49792361
20260228,가좌환경사업소 북측,89341,168001341,서구,가좌1동,168501.3328,126.6445798,444147.9561,37.49900303
20260228,가좌환경사업소북측,89342,168001342,서구,석남2동,168498.5931,126.6445477,444174.1511,37.49923895
20260228,가천대학교,38284,164000284,연수구,연수3동,172191.6822,126.6866286,435778.6741,37.42371526
20260228,가천대학교,38270,164000270,연수구,연수3동,172329.129,126.6881914,435511.6005,37.42131306
20260228,가천대학교(노인복지회관),38269,164000269,연수구,연수3동,172348.1955,126.6884082,435474.5149,37.42097949
20260228,가천의대,43237,169000237,강화군,길상면,155228.8113,126.4937941,455533.6592,37.60103436
20260228,가천의대,43897,169000897,강화군,길상면,155204.7616,126.4935208,455548.5118,37.601167
20260228,가톨릭대,43325,169000325,강화군,양도면,151718.3752,126.4536534,461430.2831,37.65398158
20260228,가톨릭대,43156,169000156,강화군,양도면,151743.043,126.453933,461429.0699,37.65397195
20260228,가현오일뱅크,42734,168000734,서구,검단1동,168035.5697,126.6387488,457068.8391,37.61540053
20260228,가현중학교,42722,168000722,서구,신현원창동,170667.2469,126.6689761,446574.5386,37.52093757
20260228,가현초교앞(루에블리아파트),89242,168001242,서구,신현원창동,170544.6648,126.6675811,446782.5032,37.52280737
20260228,가현초교앞(센트럴타운아파트),89243,168001243,서구,신현원창동,170564.0805,126.6678022,446745.6134,37.52247562
20260228,각곡,43772,169000772,강화군,하점면,148557.8048,126.4169062,474618.7731,37.77262743
20260228,각곡,43602,169000602,강화군,하점면,148551.8353,126.4168373,474636.1223,37.77278339
20260228,간석4거리,39538,165000538,남동구,간석2동,175071.0717,126.7190187,439883.1237,37.46077838
20260228,간석4동행정복지센터,39403,165000403,남동구,간석2동,173255.2614,126.6984703,440560.9037,37.46683428
20260228,간석4동행정복지센터,39412,165000412,남동구,간석2동,173308.4499,126.6990714,440566.7873,37.46688883
20260228,간석금호어울림아파트,39334,165000334,남동구,간석2동,174130.0159,126.7083871,439742.229,37.45948303
20260228,간석남부역,37529,163000529,미추홀구,주안6동,172888.123,126.6943339,440193.0833,37.46350954
20260228,간석남부역,37435,163000435,미추홀구,주안6동,172887.8328,126.6943278,440269.718,37.4642
20260228,간석남부역,37429,163000429,미추홀구,주안6동,172918.7788,126.6946814,440165.4727,37.46326167
20260228,간석동용광경로당,39394,165000394,남동구,간석2동,174724.0862,126.7150968,439883.9242,37.46077616
20260228,간석래미안.자이,39333,165000333,남동구,간석2동,174163.2864,126.7087679,439607.8854,37.45827353
20260228,간석북부역,39806,165000806,남동구,간석4동,172847.6805,126.6938692,440396.5866,37.4653419
20260228,간석북부역,39807,165000807,남동구,간석4동,172828.304,126.6936504,440390.7819,37.46528903
20260228,간석북부역·우성1차,39368,165000368,남동구,간석4동,172890.3479,126.6943505,440424.6227,37.46559575
20260228,간석북부역·우성1차,39370,165000370,남동구,간석2동,172879.2382,126.6942242,440444.5712,37.46577516
20260228,간석사거리,39414,165000414,남동구,구월2동,175180.1194,126.7202526,439843.6853,37.46042599
20260228,간석사거리,39413,165000413,남동구,구월2동,175150.0923,126.7199131,439848.5726,37.46046921
20260228,간석사거리,39430,165000430,남동구,간석2동,175197.9341,126.7204498,439968.302,37.46154925
20260228,간석사거리(상인천중학교),39422,165000422,남동구,간석3동,175067.3879,126.7189744,439962.2612,37.46149131
20260228,간석사거리(상인천중학교),39426,165000426,남동구,간석2동,175044.2861,126.7187115,440014.8254,37.46196428
20260228,간석시장,39434,165000434,남동구,간석2동,174711.2705,126.7149416,440185.8741,37.46349635
20260228,간석시장,39437,165000437,남동구,간석2동,174617.9485,126.7138847,440244.8519,37.46402518
20260228,간석시장,39436,165000436,남동구,간석3동,174743.0837,126.7153005,440205.5413,37.46367442
20260228,간석오거리,39460,165000460,남동구,간석2동,174116.001,126.7081884,440887.5787,37.46980215
20260228,간석오거리,39597,165000597,남동구,간석2동,174115.5199,126.7081975,440474.3881,37.46607932
20260228,간석오거리(교원공제조합),39444,165000444,남동구,간석3동,174374.4546,126.711127,440399.5628,37.46541238
20260228,간석오거리(교원공제조합),39446,165000446,남동구,간석2동,174368.0249,126.711053,440437.6456,37.46575532
20260228,간석오거리(인천웨딩홀),39423,165000423,남동구,간석1동,174095.2864,126.7079733,440346.3824,37.46492543
20260228,간석오거리(인천웨딩홀),39406,165000406,남동구,간석2동,174128.6146,126.7083547,440212.8801,37.46372352
