정류장명,정류장 번호,승차인원수,하차인원수,승차인원수(카드),하차인원수(카드),승차인원수(현금),일평균 승하차인원수
독정로.태평아파트,89598,278,183,278,183,0,15.37
독정로.태평아파트,89599,71,582,71,582,0,21.77
독정역(예비군훈련장),42377,9211,6027,9211,6027,0,507.93
독정역(예비군훈련장),42378,9710,10020,9710,10020,0,657.67
독정이고개,37234,27926,21731,27926,21731,0,1655.23
독정이고개,37238,20516,26461,20516,26461,0,1565.9
돈대마을,43925,47,13,47,13,0,2
돈대마을,43926,4,23,4,23,0,0.9
돈대모루,43422,12,29,12,29,0,1.37
돈대모루,43447,19,10,19,10,0,0.97
돌머루(대산종점),43707,95,60,93,60,2,5.17
돌산밑,35320,53,11,53,11,0,2.13
돌산밑,35396,4,173,4,173,0,5.9
돌팍재삼거리,35273,851,1076,851,1076,0,64.23
돌팍재삼거리,35277,1103,873,1099,873,4,65.87
돌팍재한뿌리,35304,248,353,248,353,0,20.03
돌팍재한뿌리,35315,268,354,268,354,0,20.73
동강리,35317,47,174,46,174,1,7.37
동강리,35393,391,46,387,46,4,14.57
동강리(그린빌앞),35245,97,89,96,89,1,6.2
동강리(그린빌앞),35246,20,16,20,16,0,1.2
동검도삼거리,43223,1,44,1,44,0,1.5
동검도삼거리,43642,54,0,54,0,0,1.8
동검리마을회관입구,90069,0,7,0,7,0,0.23
동검리마을회관입구,90070,6,0,6,0,0,0.2
동검리입구,43856,1,29,1,29,0,1
동검리입구,43877,12,1,12,1,0,0.43
동검리종점,43889,54,45,54,45,0,3.3
동검상회,43226,1,1,1,1,0,0.07
동검상회,43519,0,6,0,6,0,0.2
동광제일교회,40411,591,656,591,656,0,41.57
동교동삼거리,22012,5466,31,5466,31,0,183.23
동교동삼거리,23033,49,4236,49,4236,0,142.83
동국제강,36068,2216,3349,2216,3349,0,185.5
동국제강,36074,356,198,356,198,0,18.47
동국제강후문,36069,193,693,193,693,0,29.53
동국제강후문,36070,910,195,910,195,0,36.83
동남스포피아,38226,11137,8991,11137,8991,0,670.93
동남스포피아,38227,11203,9294,11203,9294,0,683.23
동남아파트,38267,1146,6493,1146,6493,0,254.63
동남아파트,38268,3356,1152,3356,1152,0,150.27
동남아파트,70039,512,755,512,755,0,42.23
동남아파트(무지개아파트),38337,1029,3694,1029,3694,0,157.43
동녘개,90147,0,14,0,14,0,0.47
동녘개,90148,33,13,33,13,0,1.53
동녘마을입구,39660,45,826,45,826,0,29.03
동들머리,43705,7,12,7,12,0,0.63
동들머리,43885,53,39,49,39,4,3.07
동막교회,43499,1,41,1,41,0,1.4
동막교회,43514,66,1,66,1,0,2.23
동막역(1번출구),38039,35181,51548,35181,51548,0,2890.97
동막역(3번출구),38433,47520,27499,47520,27499,0,2500.63
동막역(4번출구),38338,9072,1778,9072,1778,0,361.67
동막초등학교,38054,1153,4469,1153,4469,0,187.4
동막해변,43408,85,258,85,258,0,11.43
동막해변,43511,328,87,328,87,0,13.83
동문아파트,42436,18336,13702,18336,13702,0,1067.93
동방중학교,92038,266,443,266,443,0,23.63
동방초등학교,92037,43,77,43,77,0,4
동보2차아파트,41053,77,608,77,608,0,22.83
동보2차아파트,41059,871,193,871,193,0,35.47
동보노빌리티,35488,3182,4749,3182,4749,0,264.37
동보노빌리티,35489,4619,2674,4619,2674,0,243.1
동보아파트,39125,2835,5741,2835,5741,0,285.87
동보아파트,39126,5376,1861,5376,1861,0,241.23
동보아파트,41056,4443,1008,4443,1008,0,181.7
동보아파트,41063,1314,3669,1314,3669,0,166.1
동보아파트,41136,385,987,385,987,0,45.73
동보아파트,41143,13589,17383,13589,17383,0,1032.4
동보아파트,70040,378,574,378,574,0,31.73
동보아파트후문,41129,968,293,968,293,0,42.03
동부아파트,36052,1611,2473,1611,2473,0,136.13
동부아파트,37192,412,347,412,347,0,25.3
동산고,36018,11394,3049,11394,3049,0,481.43
동산고등학교,36021,4732,10999,4732,10999,0,524.37
동산교회,36010,1703,2631,1703,2631,0,144.47
동산교회,36012,3032,3819,3032,3819,0,228.37
동산교회,90303,3,8,3,8,0,0.37
동산리마을회관,90302,3,3,3,3,0,0.2
동산리입구,90291,2,0,2,0,0,0.07
동산중고등학교(재능대정문),36029,7789,1095,7789,1095,0,296.13
동산휴먼시아2단지,36022,3572,561,3572,561,0,137.77
동산휴먼시아2단지,36023,1168,4557,1168,4557,0,190.83
동서식품,40623,2732,2484,2732,2484,0,173.87
동서식품,40624,2223,3129,2223,3129,0,178.4
동성.길훈아파트,42495,2978,7344,2978,7344,0,344.07
동성아파트,42496,6551,1586,6551,1586,0,271.23
동소정사거리,40188,8222,9026,8222,9026,0,574.93
동소정사거리,40189,11787,12121,11787,12121,0,796.93
동수교회,40184,133,1045,133,1045,0,39.27
동수역1번출구,40124,1998,12133,1998,12133,0,471.03
동수역2번출구,40108,3414,6296,3414,6296,0,323.67
동수역3번출구,40110,8329,6319,8329,6319,0,488.27
동아.팬더아파트,39233,7080,10000,7080,10000,0,569.33
동아.팬더아파트,39236,10576,6519,10576,6519,0,569.83
동아2단지정문,40324,1436,461,1436,461,0,63.23
동아금호아파트,38344,6532,12691,6532,12691,0,640.77
동아금호아파트,38347,7639,3240,7639,3240,0,362.63
동아아파트,37248,973,1351,973,1351,0,77.47
동아아파트,41070,3130,1741,3130,1741,0,162.37
동아아파트,41403,1642,4744,1642,4744,0,212.87
동아아파트,42404,3492,3677,3492,3677,0,238.97
동아아파트,42406,4971,2806,4971,2806,0,259.23
동아아파트후문,40257,2324,2336,2324,2336,0,155.33
동아아파트후문,40258,2289,1853,2289,1853,0,138.07
동아풍림아파트,37037,15036,18798,15036,18798,0,1127.8
동암국민주택,40014,3268,698,3268,698,0,132.2
동암국민주택,40015,690,2026,690,2026,0,90.53
동암남부역,40034,32516,21112,32516,21112,0,1787.6
동암남부역,40797,126033,106912,126033,106912,0,7764.83
동암남부역,40861,762,7016,762,7016,0,259.27
동암남부역,40862,18883,13090,18883,13090,0,1065.77
동암북부역,40013,27497,12657,27497,12657,0,1338.47
동암북부역,40035,10877,27329,10877,27329,0,1273.53
동암북부역광장,40800,74921,62947,74921,62947,0,4595.6
동암사거리,40001,14408,15078,14408,15078,0,982.87
동암사거리,40003,3758,6421,3758,6421,0,339.3
동양도서관,41522,6490,4404,6490,4404,0,363.13
동양도서관(휴먼빌아파트),41523,4380,4755,4380,4755,0,304.5
동양엔파트4단지,42820,3202,4680,3202,4680,0,262.73
동양엔파트4단지,42837,4702,2622,4702,2622,0,244.13
동양엔파트5단지,42986,2905,3734,2905,3734,0,221.3
동양주공1.2단지,41372,9471,2429,9471,2429,0,396.67
동양주공1.2단지,41373,2656,8211,2656,8211,0,362.23
동양지구입구,41445,3968,532,3968,532,0,150
동양지구입구,41446,1072,5586,1072,5586,0,221.93
동양체육문화센터,41554,2058,3668,2058,3668,0,190.87
동양체육문화센터,41555,2636,2068,2636,2068,0,156.8
동양하이테크,42966,172,224,172,224,0,13.2
동원로얄듀크마리나포레,35890,3361,1017,3361,1017,0,145.93
동원아파트,25166,394,410,394,410,0,26.8
동원아파트,25167,459,242,459,242,0,23.37
동원아파트,37376,4615,2052,4615,2052,0,222.23
동원아파트,37379,1692,2986,1692,2986,0,155.93
동인천,35188,24853,31266,24853,31266,0,1870.63
동인천(우리은행앞),35517,690,624,686,624,4,43.8
동인천동행정복지센터,35795,47,260,47,260,0,10.23
동인천동행정복지센터,35805,90,97,90,97,0,6.23
동인천역,35185,102439,46309,102439,46309,0,4958.27
동인천역,35187,5260,10042,5260,10042,0,510.07
동인천역,35191,67766,90419,67766,90419,0,5272.83
동인천역,35192,11420,22940,11420,22940,0,1145.33
동인천역북광장,36136,22425,17442,22425,17442,0,1328.9
동인천역북광장,36137,31494,15279,31494,15279,0,1559.1
동인천중학교,39229,1508,1101,1508,1101,0,86.97
동인천중학교,39230,2034,1241,2034,1241,0,109.17
동일방직,36031,3163,3117,3163,3117,0,209.33
동일방직,36032,3119,2714,3119,2714,0,194.43
동일아파트,35177,442,1717,442,1717,0,71.97
동작세무서,20005,81,2076,81,2076,0,71.9
동주농장,43349,7,12,7,12,0,0.63
동주농장,43401,16,6,16,6,0,0.73
동촌,43407,106,0,106,0,0,3.53
동촌,43793,3,66,3,66,0,2.3
동춘2동행정복지센터,38045,1798,6162,1798,6162,0,265.33
동춘2동행정복지센터,38046,5323,1114,5323,1114,0,214.57
동춘대동아파트,38345,5233,5552,5233,5552,0,359.5
동춘동종점,38037,565,1072,565,1072,0,54.57
동춘동차고지,38569,799,1062,799,1062,0,62.03
동춘롤러경기장,38704,506,607,506,607,0,37.1
동춘마을아파트,38082,7362,5652,7362,5652,0,433.8
동춘마을아파트,38087,3610,6233,3610,6233,0,328.1
동춘역,38346,34630,24954,34630,24954,0,1986.13
동춘역(이마트),38060,15222,630,15222,630,0,528.4
동춘역(이마트.스퀘어원),38070,34383,40204,34383,40204,0,2486.23
동화운수차고지(하차전용),41673,39,2433,39,2433,0,82.4
돼지슈퍼.간동입구,80019,73,695,73,695,0,25.6
두두미마을,43289,22,0,21,0,1,0.73
두두미마을,43869,0,16,0,16,0,0.53
두밀경노당,89328,5,89,5,89,0,3.13
두밀경노당,89331,116,7,116,7,0,4.1
두산밥캣코리아,36077,2,735,2,735,0,24.57
두산아파트,40564,2556,4979,2556,4979,0,251.17
두산위브더제니스센트럴여의아파트,37296,1930,1385,1930,1385,0,110.5
두산위브아파트,37043,16945,8316,16945,8316,0,842.03
두산위브아파트,40630,11369,708,11369,708,0,402.57
두산위브아파트,40648,420,1352,420,1352,0,59.07
두운1리마을회관앞,90047,2,81,2,81,0,2.77
두운1리마을회관앞,90048,62,7,62,7,0,2.3
두운리,43034,7,21,7,21,0,0.93
두운리,43540,65,188,65,188,0,8.43
둑실경로당,41498,2,14,2,14,0,0.53
둑실경로당,41514,28,0,28,0,0,0.93
둑실동(아라마루전망대),41494,4,95,4,95,0,3.3
둑실동(아라마루전망대),41512,193,4,193,4,0,6.57
둑실동회차지,41500,42,32,42,32,0,2.47
둥개마을오거리,35862,36,12,36,12,0,1.6
둥깨마을입구(세븐일레븐),35721,63,0,63,0,0,2.1
둥깨마을입구(세븐일레븐),35722,3,26,3,26,0,0.97
둥깨마을입구(용성철강),35724,31,71,31,71,0,3.4
뒤골입구,35668,14,5,14,5,0,0.63
뒤골입구,35669,0,33,0,33,0,1.1
뒷골입구,90377,0,5,0,5,0,0.17
뒷골입구,90380,4,1,4,1,0,0.17
뒷방죽들,39959,1418,6,1418,6,0,47.47
뒷방죽들,39960,6635,10630,6635,10630,0,575.5
드라이빙센터,35589,49,1705,49,1705,0,58.47
드림로갈산교,41342,327,375,327,375,0,23.4
드림로갈산교,41343,77,886,77,886,0,32.1
드림파크야생화단지,89363,2462,43,2462,43,0,83.5
드림파크야생화단지,89364,7,2384,7,2384,0,79.7
드무리해변,44011,57,611,57,611,0,22.27
드무리해변,44012,743,60,743,60,0,26.77
디에스솔텍,39035,3073,2909,3073,2909,0,199.4
디에스솔텍,39038,2346,2120,2346,2120,0,148.87
디에트르더힐(고산터널),89396,9357,7031,9357,7031,0,546.27
디에트르더힐·이음고등학교,89455,1362,4320,1362,4320,0,189.4
디에트르더힐·이음고등학교,89464,2065,449,2065,449,0,83.8
디지털1단지,17725,6,712,6,712,0,23.93
"디지털3단지,월드벤처센터",18108,13,235,13,235,0,8.27
디지털3단지사거리,18110,374,10,374,10,0,12.8
뗏마루어린이공원·신화아파트,39405,5053,6153,5053,6153,0,373.53
뚝배기이탈리아,43470,15,17,15,17,0,1.07
뚝배기이탈리아,43524,6,13,6,13,0,0.63
라이크홈기숙사앞,39993,1671,2139,1671,2139,0,127
라이크홈기숙사앞,39994,3360,1681,3360,1681,0,168.03
라이크홈기숙사앞,39995,1043,48,1043,48,0,36.37
라이프쇼핑앞,35070,5733,5873,5733,5873,0,386.87
라이프아파트,35060,119,6003,119,6003,0,204.07
라이프아파트,35062,14206,76,14206,76,0,476.07
"래미안아파트,파이낸셜뉴스",22905,10798,7434,10798,7434,0,607.73
래미안아파트.파이낸셜뉴스,31072,1092,52,1092,52,0,38.13
래미안아파트파이낸셜뉴스,32002,2642,1933,2642,1933,0,152.5
랜드마크시티1호수변공원,38767,477,1040,477,1040,0,50.57
랜드마크시티센트럴더샵,38636,134,4875,134,4875,0,166.97
랜드마크시티센트럴더샵(106동),38665,2635,9754,2635,9754,0,412.97
랜드마크시티센트럴더샵(106동),38666,10258,1814,10258,1814,0,402.4
랜드마크시티센트럴더샵(203동),38645,18611,2394,18611,2394,0,700.17
랜드마크시티센트럴더샵(203동),38650,2344,15218,2344,15218,0,585.4
럭키아파트,38115,3770,283,3770,283,0,135.1
럭키아파트,38132,633,7438,633,7438,0,269.03
레이크파크,42840,1390,3243,1390,3243,0,154.43
레전드호텔,35639,1572,1485,1572,1485,0,101.9
레전드호텔,35640,28,409,28,409,0,14.57
레지던스라이크홈,92012,667,5826,667,5826,0,216.43
로봇랜드입구,89022,5050,145,5050,145,0,173.17
로봇랜드입구,89023,21,3552,21,3552,0,119.1
로봇타워,89301,9,1149,9,1149,0,38.6
로봇타워,89302,1182,24,1182,24,0,40.2
로얄아파트,37247,32375,14536,32375,14536,0,1563.7
로얄아파트,37424,1118,333,1118,333,0,48.37
로얄호텔,43542,7,42,7,42,0,1.63
로얄호텔,43878,53,31,53,31,0,2.8
롯데마트,35108,4538,4705,4538,4705,0,308.1
롯데마트,41390,621,10,621,10,0,21.03
롯데마트,41391,16,2744,16,2744,0,92
롯데마트,42829,20741,9878,20741,9878,0,1020.63
롯데마트,42838,10455,23939,10455,23939,0,1146.47
롯데마트계양점(고용복지센터),41227,23441,15058,23441,15058,0,1283.3
롯데마트계양점(고용복지센터),41424,9275,16386,9275,16386,0,855.37
롯데마트송도점,38523,2525,998,2525,998,0,117.43
롯데몰.김포공항역,25174,498,4236,498,4236,0,157.8
롯데백화점(인천터미널),37513,162513,153149,162513,153149,0,10522.07
롯데백화점(인천터미널),39588,153764,109720,153764,109720,0,8782.8
롯데슈퍼,38072,8971,2998,8971,2998,0,398.97
롯데슈퍼,38074,2627,7444,2627,7444,0,335.7
롯데아파트,38110,7614,8779,7614,8779,0,546.43
롯데월드타워,37327,2677,5094,2677,5094,0,259.03
롯데캐슬,39795,597,333,597,333,0,31
롯데캐슬,39796,3087,1604,3087,1604,0,156.37
롯데캐슬,39797,673,117,673,117,0,26.33
롯데캐슬,39798,278,635,278,635,0,30.43
롯데캐슬,42835,7045,4644,7045,4644,0,389.63
롯데캐슬,42884,5745,9929,5745,9929,0,522.47
롯데캐슬,42999,1009,3440,1009,3440,0,148.3
롯데캐슬.모래내시장.구월시장,39309,55898,21004,55898,21004,0,2563.4
롯데캐슬·모래내시장·구월시장,39310,30183,53301,30183,53301,0,2782.8
롯데캐슬캠퍼스타운,39977,17,622,17,622,0,21.3
롯데캐슬캠퍼스타운,39978,2806,3235,2806,3235,0,201.37
롯데캐슬후문,39285,5885,5095,5885,5095,0,366
루에블리아파트,89283,3424,4275,3424,4275,0,256.63
루원더퍼스트아파트,89107,4161,6477,4161,6477,0,354.6
루원더퍼스트아파트,89108,10208,3384,10208,3384,0,453.07
루원더퍼스트아파트105동앞,89378,461,1408,461,1408,0,62.3
루원린스트라우스더린시티,42234,2237,1406,2237,1406,0,121.43
루원숲속마을,89383,874,2053,874,2053,0,97.57
루원숲속마을,89384,16,537,16,537,0,18.43
루원시티1차SK리더스뷰아파트,89284,6169,6048,6169,6048,0,407.23
루원시티2차리더스뷰아파트,89072,12807,14892,12807,14892,0,923.3
루원시티사거리,89076,1669,1118,1669,1118,0,92.9
루원시티사거리,89077,535,1965,535,1965,0,83.33
루원시티서한이다음아파트,89628,317,174,317,174,0,16.37
루원시티서한이다음아파트,89629,395,520,395,520,0,30.5
루원시티어울림아파트,89184,2519,5346,2519,5346,0,262.17
루원시티어울림아파트,89185,5988,3959,5988,3959,0,331.57
루원시티프라디움,89150,12959,3530,12959,3530,0,549.63
루원시티프라디움105동,89308,10641,8629,10641,8629,0,642.33
루원시티프라디움105동,89309,3592,6332,3592,6332,0,330.8
루원이편한세상하늘채(107동),42225,12334,15766,12334,15766,0,936.67
루원이편한세상하늘채(112동),42721,3638,2578,3638,2578,0,207.2
루원이편한세상하늘채(125동),42216,5513,3308,5513,3308,0,294.03
루원제일풍경채정문앞,89040,3757,10579,3757,10579,0,477.87
루원중학교,89493,1951,669,1951,669,0,87.33
루원중학교,89494,155,1045,155,1045,0,40
루원지웰시티푸르지오,42228,8288,8321,8288,8321,0,553.63
루원호반베르디움,89149,3964,11648,3964,11648,0,520.4
루원호반베르디움104동,89368,1582,2577,1582,2577,0,138.63
리안월드입구,90177,20,32,20,32,0,1.73
리안월드입구,90178,33,18,33,18,0,1.7
리튬코리아,39034,1924,968,1924,968,0,96.4
린나이코리아,40011,3,297,3,297,0,10
린나이코리아,40012,348,1,348,1,0,11.63
린스트라우스,42831,3370,3245,3370,3245,0,220.5
린스트라우스,42881,6957,4272,6957,4272,0,374.3
린스트라우스정문,42795,6813,4226,6813,4226,0,367.97
마곡나루역1번출구,16396,210,289,210,289,0,16.63
마곡나루역5번출구.서울식물원,16386,290,143,290,143,0,14.43
마곡동로사거리(중),16021,757,667,757,667,0,47.47
마곡동로사거리(중),16022,751,1065,751,1065,0,60.53
마곡역(중),16018,976,750,976,750,0,57.53
마곡역(중),16019,794,1099,794,1099,0,63.1
마곡역2번출구,16423,732,165,732,165,0,29.9
마그네,43028,199,201,199,201,0,13.33
마그네다리,43158,227,169,227,169,0,13.2
마그네다리,43900,31,26,31,26,0,1.9
마그네사거리,43029,351,454,350,454,1,26.83
마그네사거리,43030,606,413,606,413,0,33.97
마니교통차고지,89496,197,203,197,203,0,13.33
마니산상회,43417,92,56,92,56,0,4.93
마니산상회,43443,32,63,32,63,0,3.17
마니산입구,43102,222,570,222,570,0,26.4
마니산입구,43103,719,238,719,238,0,31.9
마당개,35681,8,7,8,7,0,0.5
마당개,35697,23,13,23,13,0,1.2
마미,43747,11,9,11,9,0,0.67
마미,43765,6,16,6,16,0,0.73
마송,80131,570,3058,570,3058,0,120.93
마송,80132,2536,723,2536,723,0,108.63
마시란,35424,131,401,131,401,0,17.73
마시란,35425,368,114,368,114,0,16.07
마시란해변(슈퍼앞),35262,16,61,16,61,0,2.57
마시란해변(슈퍼앞),35263,21,11,21,11,0,1.07
마시란해변(전주집),35260,4,5,4,5,0,0.3
마시란해변(전주집),35261,4,3,4,3,0,0.23
마시안갯벌체험장,35936,18,40,18,40,0,1.93
마시안갯벌체험장,35937,38,15,38,15,0,1.77
마을금고,40528,1346,4685,1346,4685,0,201.03
마을회관,43314,18,0,18,0,0,0.6
마을회관,43773,1,11,1,11,0,0.4
마을회관입구,35024,435,2050,435,2050,0,82.83
마을회관입구,35402,1213,206,1213,206,0,47.3
마장공원,40286,6524,27,6524,27,0,218.37
마장포고개,35677,24,40,24,40,0,2.13
마장포고개,35701,69,47,69,47,0,3.87
마장포삼거리,35679,178,265,178,265,0,14.77
마장포삼거리,35699,152,69,150,69,2,7.37
마장포입구,35680,34,158,34,158,0,6.4
마장포입구,35698,3,8,3,8,0,0.37
마전고등학교,42752,149,8349,149,8349,0,283.27
마전고등학교,42753,7245,181,7245,181,0,247.53
마전역,42412,3997,7537,3997,7537,0,384.47
마전역,42413,18469,5206,18469,5206,0,789.17
마전주공아파트,42420,26,270,24,270,2,9.87
마전주공아파트,89322,4,15,4,15,0,0.63
마전지구대원아파트,42481,6991,62,6991,62,0,235.1
마전지구대원아파트,89446,36,6068,36,6068,0,203.47
마전지구버스차고지,89259,3406,189,3406,189,0,119.83
마전지구버스차고지,89345,20,2259,20,2259,0,75.97
마전초등학교,42408,5202,5055,5202,5055,0,341.9
마포역,14001,9,1358,9,1358,0,45.57
마포역,14002,1557,7,1557,7,0,52.13
막촌,43460,416,6,404,6,12,14.07
막촌,43776,8,173,8,173,0,6.03
만석동행정복지센터,36046,3701,1699,3701,1699,0,180
만석부두,36076,468,3560,468,3560,0,134.27
만석부두,36079,5037,1709,5037,1709,0,224.87
만석비치타운,36106,617,6045,617,6045,0,222.07
만석비치타운,36126,1970,2204,1970,2204,0,139.13
만석삼거리,36185,2410,7676,2410,7676,0,336.2
만석삼거리,36186,774,1325,774,1325,0,69.97
만석주공,36057,14953,2535,14953,2535,0,582.93
만석초등학교,36056,739,224,739,224,0,32.1
만석초등학교,36187,3,76,3,76,0,2.63
만수1동행정복지센터,39294,12898,5502,12898,5502,0,613.33
만수2동행정복지센터·포레시안,39731,14983,10311,14983,10311,0,843.13
만수2동행정복지센터·포레시안,39735,10195,11851,10195,11851,0,734.87
만수3동주민센터,39425,17860,23556,17860,23556,0,1380.53
만수3동주민센터,39427,29321,12663,29321,12663,0,1399.47
만수3동주민센터,39544,569,157,569,157,0,24.2
만수3동주민센터,39545,105,1028,105,1028,0,37.77
만수4동주민센터,39452,7193,6987,7193,6987,0,472.67
만수4동주민센터,39454,6638,11721,6638,11721,0,611.97
만수6동주민센터입구,39277,4483,13024,4483,13024,0,583.57
만수7.8단지앞,39497,1569,2130,1569,2130,0,123.3
만수7.8단지앞,39635,2667,2761,2667,2761,0,180.93
만수근린공원,39455,793,701,793,701,0,49.8
만수북중학교,39468,1117,1329,1117,1329,0,81.53
만수북중학교,39469,2009,680,2009,680,0,89.63
만수북초등학교,39420,5922,4517,5922,4517,0,347.97
만수산입구,89544,37,1637,37,1637,0,55.8
만수소방서,39428,8373,14417,8373,14417,0,759.67
만수소방서,39433,30488,12228,30488,12228,0,1423.87
만수신동아아파트·동인천고,39485,7914,8996,7914,8996,0,563.67
만수신동아아파트·동인천고,39578,629,51,629,51,0,22.67
만수역,39385,3678,182,3678,182,0,128.67
만수역,39388,444,17810,444,17810,0,608.47
만수종합시장,39451,28511,9437,28511,9437,0,1264.93
만수종합시장,39592,9624,22265,9624,22265,0,1062.97
만수주공1단지,39401,3555,3477,3555,3477,0,234.4
만수주공320동앞,39431,1431,1268,1431,1268,0,89.97
만수주공4단지,39440,8145,5306,8145,5306,0,448.37
만수주공4단지,39443,9552,9625,9552,9625,0,639.23
만수주공정문,39408,10061,7880,10061,7880,0,598.03
만수주공정문,39410,3054,3164,3054,3164,0,207.27
만수주공후문,39435,4377,9938,4377,9938,0,477.17
만수주공후문,39438,13278,3917,13278,3917,0,573.17
만수중(대토단지),39400,242,1179,242,1179,0,47.37
만수중학교후문,39745,131,834,131,834,0,32.17
만수초등학교,39303,1740,5116,1740,5116,0,228.53
만수초등학교,39307,530,861,530,861,0,46.37
만월종합사회복지관,92065,4,1794,4,1794,0,59.93
만월중학교,39962,2261,450,2261,450,0,90.37
만월중학교,39963,81,2662,81,2662,0,91.43
만의골입구,39666,207,48,207,48,0,8.5
만의골입구,39672,19,295,19,295,0,10.47
만정낚시터,35682,172,68,172,68,0,8
만정낚시터,35696,151,263,148,263,3,13.8
만정낚시터입구,35683,51,109,51,109,0,5.33
만정낚시터입구,35695,143,56,133,56,10,6.63
말죽거리공원사거리,22291,1,1385,1,1385,0,46.2
말죽거리공원사거리(중),31005,1132,8,1132,8,0,38
망양돈대,90224,0,15,0,15,0,0.5
망양돈대,90225,5,4,5,4,0,0.3
망월3리,43332,247,155,243,155,4,13.4
망월3리,43580,0,37,0,37,0,1.23
망월입구,43117,10,0,10,0,0,0.33
망월입구,43576,29,56,28,56,1,2.83
망월입구,43790,8,28,8,28,0,1.2
망월종점,43788,10,14,9,14,1,0.8
매수리마을,35725,3054,234,3054,234,0,109.6
매음1리마을회관,90173,15,18,14,18,1,1.1
매음1리마을회관,90174,34,3,34,3,0,1.23
매음3리마을회관(민머루),90321,12,11,12,11,0,0.77
매음3리마을회관(민머루),90322,7,3,7,3,0,0.33
매제미고개,43837,38,16,38,16,0,1.8
매제미고개,43988,1,10,1,10,0,0.37
매헌시민의숲.양재꽃시장,31002,21672,7081,21672,7081,0,958.43
매헌시민의숲.양재꽃시장,31003,2391,6211,2391,6211,0,286.73
먼우금사거리,38114,6679,5861,6679,5861,0,418
먼우금초등학교,38021,3210,10489,3210,10489,0,456.63
메이루즈커낼파크뷰,42747,3886,8685,3886,8685,0,419.03
메이루즈커낼파크뷰,42762,8411,3968,8411,3968,0,412.63
메이루즈커낼파크뷰정문,42794,4358,4553,4358,4553,0,297.03
메제미,43302,117,20,117,20,0,4.57
메제미,43598,21,101,21,101,0,4.07
면사무소입구,90018,4,210,4,210,0,7.13
면사무소입구,90019,143,17,143,17,0,5.33
면허시험장,39006,2616,2505,2616,2505,0,170.7
명가빌라(회차),37553,1520,1281,1520,1281,0,93.37
명보주택앞,43979,4,7,4,7,0,0.37
명보주택앞,43984,17,11,16,11,1,0.93
명신여자고등학교,40289,17737,4689,17737,4689,0,747.53
명신여자고등학교,40291,5168,12973,5168,12973,0,604.7
명신초등학교,43394,142,6,141,6,1,4.93
명신초등학교,43803,7,85,7,85,0,3.07
명진부페,43632,27,13,27,13,0,1.33
명현중학교,41405,2181,9093,2181,9093,0,375.8
명현초등학교,41559,9265,2683,9265,2683,0,398.27
명현초등학교,41560,2104,7132,2104,7132,0,307.87
명현초등학교(효성지구대),41069,4,772,4,772,0,25.87
모다아울렛,89190,3276,3631,3276,3631,0,230.23
모래내시장,39295,16332,12886,16332,12886,0,973.93
모래내시장,39298,12427,11164,12427,11164,0,786.37
모래내시장,39344,7496,5014,7496,5014,0,417
모래내시장,39350,12184,13089,12184,13089,0,842.43
모래내시장역(1번출구),39338,13231,11250,13231,11250,0,816.03
모래내시장역(2번출구),39909,10984,13579,10984,13579,0,818.77
모래내시장역(3번출구),39339,39144,37887,39144,37887,0,2567.7
모래내시장역(4번출구),39335,2429,7434,2429,7434,0,328.77
모래방죽사거리,89228,2112,1130,2112,1130,0,108.07
모래방죽사거리,89229,2116,3336,2116,3336,0,181.73
모름말,90255,4,3,4,3,0,0.23
모름말,90311,0,7,0,7,0,0.23
모리부락입구,90304,13,0,13,0,0,0.43
모아아파트,70033,196,899,196,899,0,36.5
모아아파트.세종프라자,70034,579,252,579,252,0,27.7
모현,43659,2,305,2,305,0,10.23
모현,43689,237,14,235,14,2,8.37
목개마을,90153,2,4,2,4,0,0.2
목개마을,90154,36,10,36,10,0,1.53
목너머,35863,45,29,45,29,0,2.47
목너머,35864,18,40,18,40,0,1.93
목련어린이집,40824,9030,1564,9030,1564,0,353.13
목비고개,43032,47,175,47,175,0,7.4
목비고개,43272,175,66,174,66,1,8.03
목상교입구,41493,8,2,8,2,0,0.33
목상교입구,41519,5,11,5,11,0,0.53
목상교차로,41636,36,285,36,285,0,10.7
목상교차로,41637,271,3037,271,3037,0,110.27
목상동(새봄농원입구),41323,0,87,0,87,0,2.9
목상동(새봄농원입구),41324,45,10,45,10,0,1.83
목상동마을입구,41318,2,215,2,215,0,7.23
목상동마을입구,41517,136,8,136,8,0,4.8
목상동솔밭.이주단지입구,41316,1286,121,1286,121,0,46.9
목상동솔밭.이주단지입구,41317,160,1014,160,1014,0,39.13
목장앞,43503,2,6,2,6,0,0.27
목장앞,43688,6,3,6,3,0,0.3
목재단지,42036,391,738,391,738,0,37.63
목재부두사거리,42949,2,374,2,374,0,12.53
목재부두사거리,42960,215,100,215,100,0,10.5
뫼골놀이공원,40933,11493,764,11493,764,0,408.57
뫼골놀이공원,40934,1202,13712,1202,13712,0,497.13
무내미마을,39496,403,877,403,877,0,42.67
무내미마을,40106,247,2694,247,2694,0,98.03
무선내,44199,10,50,10,50,0,2
무의도입구,35001,3215,357,3215,357,0,119.07
무의도입구,35002,648,3079,646,3079,2,124.23
무의도주민자치센터,35738,285,33,284,33,1,10.6
무의도주민자치센터,35739,37,190,37,190,0,7.57
무지개.한양8차아파트,40271,6367,4286,6367,4286,0,355.1
