정류장명,정류장 번호,승차인원수,하차인원수,승차인원수(카드),하차인원수(카드),승차인원수(현금),일평균 승하차인원수
SK.GS주유소,89230,1745,1672,1745,1672,0,113.9
SK.GS주유소,89231,1676,1761,1676,1761,0,114.57
SKLPG충전사업소,35636,892,11,892,11,0,30.1
SKLPG충전사업소,35638,2,760,2,760,0,25.4
SK뷰아파트,42888,1334,4403,1334,4403,0,191.23
SK뷰아파트,42889,5315,1169,5315,1169,0,216.13
SK스카이뷰,37601,262,30689,262,30689,0,1031.7
SK스카이뷰104동,37587,7363,114,7363,114,0,249.23
SK스카이뷰109동,37607,7643,78,7643,78,0,257.37
SK인천석유화학,42767,1021,1428,1021,1428,0,81.63
SK인천석유화학,42768,940,1250,940,1250,0,73
SK주유소,42956,969,1138,969,1138,0,70.23
SK주유소앞,35287,1565,191,1565,191,0,58.53
SK주유소앞,35539,119,1340,119,1340,0,48.63
SK충전소,35085,22,2205,22,2205,0,74.23
e편한세상(109동앞),32062,862,1595,862,1595,0,81.9
e편한세상(109동앞),38643,1076,466,1076,466,0,51.4
e편한세상1차(정문),35662,1540,2204,1540,2204,0,124.8
e편한세상1차(정문),35663,2792,1410,2792,1410,0,140.07
e편한세상검단어반센트로,89554,1910,2282,1910,2282,0,139.73
e편한세상검단어반센트로,89555,3061,1822,3061,1822,0,162.77
e편한세상계양,41037,12879,4138,12879,4138,0,567.23
e편한세상계양,41038,5549,13272,5549,13272,0,627.37
e편한세상부평그랑힐스정문,40928,3150,316,3150,316,0,115.53
e편한세상부평그랑힐스정문,40929,408,3026,408,3026,0,114.47
e편한세상부평그랑힐스후문,40930,3003,2721,3003,2721,0,190.8
e편한세상영종센텀베뉴정문,35510,879,4490,879,4490,0,178.97
e편한세상영종오션하임,35674,1422,754,1422,754,0,72.53
e편한세상영종오션하임,35761,805,1151,805,1151,0,65.2
e편한세상영종하늘도시,35646,1109,807,1109,807,0,63.87
e편한세상영종하늘도시,35647,447,888,447,888,0,44.5
e편한세상정문,38624,24570,3597,24570,3597,0,938.9
e편한세상주안에듀서밋아파트,37158,3370,1954,3370,1954,0,177.47
e편한세상주안에듀서밋아파트,37159,997,4302,997,4302,0,176.63
gym80fitness,37081,3145,1050,3145,1050,0,139.83
㈜한슬,42814,2,178,2,178,0,6
가경공원,89365,1738,1327,1738,1327,0,102.17
가구단지사거리,37455,2559,3500,2559,3500,0,201.97
가구단지사거리,37456,2994,1651,2994,1651,0,154.83
가구전시장,42072,1364,2312,1364,2312,0,122.53
가구전시장,42074,3107,1072,3107,1072,0,139.3
가나안마을앞,43904,0,10,0,10,0,0.33
가나안마을앞,43905,15,2,15,2,0,0.57
가능포,43969,8,4,8,4,0,0.4
가능포,43970,0,18,0,18,0,0.6
가림고등학교,42078,14824,12990,14824,12990,0,927.13
가산디지털단지역9번출구,18106,9,1950,9,1950,0,65.3
가산디지털단지역9번출구,18107,1777,32,1777,32,0,60.3
가야,42807,1643,5,1643,5,0,54.93
가야,42808,18,1856,18,1856,0,62.47
가오대입구,80033,105,321,105,321,0,14.2
가오대입구,80034,67,617,67,617,0,22.8
가원초등학교,42952,6254,4801,6254,4801,0,368.5
가원초등학교,89118,3393,6170,3393,6170,0,318.77
가재우물터,35678,23,42,23,42,0,2.17
가재우물터,35700,25,25,25,25,0,1.67
가재울사거리,42039,3121,5706,3121,5706,0,294.23
가재울사거리,42042,8689,5329,8689,5329,0,467.27
가재울역1번출구,42035,1672,788,1672,788,0,82
가재울역2번출구,42033,14108,8658,14108,8658,0,758.87
가재울역3번출구,42032,9771,3119,9771,3119,0,429.67
가재울역4번출구,42034,2483,2598,2483,2598,0,169.37
가정(루원시티)역,89050,14299,52955,14299,52955,0,2241.8
가정(루원시티)역,89051,74654,19479,74654,19479,0,3137.77
가정(루원시티)역,89075,87325,109469,87325,109469,0,6559.8
가정(루원시티)역,89078,99448,78132,99448,78132,0,5919.33
가정2지구3단지아파트,89626,488,424,488,424,0,30.4
가정2지구3단지아파트,89627,308,308,308,308,0,20.53
가정3동성당,42226,442,3317,442,3317,0,125.3
가정LH3단지정문앞,89041,16782,4147,16782,4147,0,697.63
가정고등학교,42200,11196,5185,11196,5185,0,546.03
가정고등학교,42203,3520,7915,3520,7915,0,381.17
가정교,89502,71,1244,71,1244,0,43.83
가정교,89503,2255,280,2255,280,0,84.5
가정교차로,89390,1370,1120,1370,1120,0,83
가정교차로,89391,366,3319,366,3319,0,122.83
가정동성당,89102,3394,3904,3394,3904,0,243.27
가정동성당,89105,2439,1663,2439,1663,0,136.73
가정로사거리,89625,1425,2156,1425,2156,0,119.37
