facility_id,facility_name,district,address,observation_count,source_count,source_datasets,category_details,observation_ids,match_rule
fac_7fc25dbc9caec150,따뜻한방문간호센터,남동구,"인천광역시 남동구 서창남순환로 124-12, 202호 (서창동)",6,2,incheon_elderly | nhis_ltc,방문간호 | 방문목욕 | 방문요양 | 재가노인복지시설 방문간호 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_0fb061a1f17e4697 | obs_133d0a3248b696b9 | obs_3adbb64fdcbfe735 | obs_96b224fa16b3a13b | obs_9a8d8ff4b57e1f48 | obs_ec366073292ef624,exact_normalized_district_name_address
fac_7fdbb9ee5b4b9557,중앙재가장기요양기관,중구,"인천광역시 중구 영종구 운서2로68번길 23, 3층 (운서동)",2,1,incheon_elderly,방문목욕 | 방문요양,obs_0437483ef085fc24 | obs_8e03be99ea53c553,exact_normalized_district_name_address
fac_7fe38676c0b4fcd8,프리드재가노인복지센터,부평구,"인천광역시 부평구 부흥로375번길 10, 1층 (부개동)",2,1,incheon_elderly,방문목욕 | 방문요양,obs_216bff3980dc5bf0 | obs_bc1b81a6c99f712e,exact_normalized_district_name_address
fac_80498dc2764e1fbd,온누리방문요양센터,미추홀구,인천광역시 미추홀구 주안서로 30 지1층층 (주안동),2,1,nhis_ltc,재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,obs_269ef554e5b8902c | obs_a94296053f6cd742,exact_normalized_district_name_address
fac_80562cf94a1cf7e7,케어대한재가요양센터,남동구,"인천광역시 남동구 구월남로 163, 503호",2,1,incheon_elderly,방문목욕 | 방문요양,obs_bf2cab94343490b7 | obs_f8909619ba144cd2,exact_normalized_district_name_address
fac_809662ca79ed20e4,효성비전 노인복지센터,계양구,"인천광역시 계양구 아나지로 75 3층306호 (효성동, 효성다섬프라자)",3,1,nhis_ltc,재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양 | 재가노인복지시설 주야간보호,obs_9202e6050abe3a2e | obs_a23999effec708d3 | obs_fc16c6e117839adb,exact_normalized_district_name_address
fac_80ffcea62045ea09,새빛요양원,서구,"인천광역시 서구 원당대로 865, 7층 (원당동)",2,2,incheon_elderly | nhis_ltc,노인요양시설 | 노인요양시설(개정법),obs_799f2e9142dce52e | obs_81fe4f58750e7004,exact_normalized_district_name_address
fac_811fdc20579021e6,가람노인복지센터,미추홀구,"인천광역시 미추홀구 인주대로266번길 28-6, 101호 (용현동)",5,3,incheon_elderly | michuhol_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가노인복지시설 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_0d46b3c6a26a8377 | obs_1ca05c8282eb790f | obs_6dee9cd236e82457 | obs_d2a036563162cf4b | obs_d934f29fec99c56b,exact_normalized_district_name_address
fac_8139a1c48e1f47eb,사랑재가요양센터,계양구,"인천광역시 계양구 주부토로 541, 5층 (계산동)",2,1,incheon_elderly,방문목욕 | 방문요양,obs_1f017225c2ce1289 | obs_a74f474e0fc2f4f3,exact_normalized_district_name_address
fac_815d6e458eb976bf,플러스은혜노인복지센터,미추홀구,인천광역시 미추홀구 인주대로417번길 7 (주안동),4,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,obs_32770acfdbebb6f0 | obs_4130d41e57f8147f | obs_687eb1e816be3690 | obs_d5c4ffdd6ca26d0d,exact_normalized_district_name_address
fac_8185da7b3074e647,가원케어(주),서구,인천광역시 서구 석남로109번길 3 1층 (석남동),4,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_51e7509760085762 | obs_8012e3f664aad5d5 | obs_e63b613d01f3cd1c | obs_f3856ff1c8b3dfd8,exact_normalized_district_name_address
fac_81898a4cfb2b8530,노엘요양원,서구,인천광역시 서구 단봉로 191 (오류동),2,2,incheon_elderly | nhis_ltc,노인요양시설 | 노인요양시설(개정법),obs_31bc92855a2432ed | obs_b7e4238bb5b6d85b,exact_normalized_district_name_address
fac_81af209927e36776,인천노인주간보호센터논현점,남동구,"인천광역시 남동구 앵고개로847번길 56, 3층 301,302호 (논현동)",2,2,incheon_elderly | nhis_ltc,재가노인복지시설 주야간보호 | 주야간보호,obs_d17b60556bf22354 | obs_f8da4470e459dc0c,exact_normalized_district_name_address
