geometry_zone_id,geometry_adm_cd_20250630,geometry_district_name_20250630,geometry_dong_name_20250630,geometry_base_date,current_admin_reference_date,current_district_name_20260701,current_admin_dong_codes_20260701,current_admin_dong_names_20260701,current_admin_dong_count,map_unit_status,mapping_methods,mapping_confidence,aggregation_required,metric_handling,population_reference_date,household_reference_date,total_population,population_age_65_plus,total_households,one_person_households,one_person_households_age_65_plus,population_age_65_plus_share,one_person_household_share,age_65_plus_one_person_share_of_age_65_plus_population,representative_longitude,representative_latitude,representative_point_method,bubble_metric_name,bubble_metric_label_ko,bubble_metric_value,bubble_metric_interpretation
vworld_sgis_20250630:23020640,23020640,동구,금창동,20250630,20260701,제물포구,2812568000,금창동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,2089,936,1219,678,397,0.448061,0.556194,0.424145,126.64035063,37.47151680,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),397,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23040510,23040510,연수구,옥련1동,20250630,20260701,연수구,2818563000,옥련1동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,17155,4092,7943,3011,1190,0.238531,0.379076,0.290811,126.64805353,37.42051719,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),1190,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23040520,23040520,연수구,선학동,20250630,20260701,연수구,2818575000,선학동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,17435,4470,8740,4021,1362,0.256381,0.460069,0.304698,126.69660166,37.42776437,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),1362,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23040530,23040530,연수구,연수1동,20250630,20260701,연수구,2818576100,연수1동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,16032,3632,8620,4595,1002,0.226547,0.533063,0.275881,126.68045757,37.42448045,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),1002,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23040540,23040540,연수구,연수2동,20250630,20260701,연수구,2818576200,연수2동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,19037,4201,9693,4630,1473,0.220676,0.477664,0.350631,126.68297031,37.41279403,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),1473,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23040550,23040550,연수구,연수3동,20250630,20260701,연수구,2818576300,연수3동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,14237,3915,7072,3129,1504,0.274988,0.442449,0.384163,126.68803167,37.41905622,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),1504,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23040560,23040560,연수구,청학동,20250630,20260701,연수구,2818576600,청학동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,21669,5769,11870,6272,2037,0.266233,0.528391,0.353094,126.66452073,37.42435062,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),2037,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23040570,23040570,연수구,동춘1동,20250630,20260701,연수구,2818578000,동춘1동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,25304,4025,9626,1980,617,0.159066,0.205693,0.153292,126.65931922,37.40452492,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),617,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23040580,23040580,연수구,동춘2동,20250630,20260701,연수구,2818579000,동춘2동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,16368,3210,6823,1820,598,0.196114,0.266745,0.186293,126.67090787,37.40035687,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),598,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23040590,23040590,연수구,동춘3동,20250630,20260701,연수구,2818579500,동춘3동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,17290,2988,5745,646,317,0.172817,0.112446,0.106091,126.67729156,37.40835995,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),317,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
