reference_year,reference_period,source_admin_code,source_admin_name,source_sido_name,source_sigungu_name,source_eupmyeondong_name,harmonization_status,population_total,population_male,population_female,population_age_60_plus_exact,population_age_70_plus_exact,population_age_60_plus_share_pct,population_age_70_plus_share_pct,population_age_65_plus_status,source_file
2025,2025-12,2817767000,인천광역시 미추홀구 주안6동,인천광역시,미추홀구,주안6동,pre_reform_code_preserved_district_not_reorganized,20858,10296,10562,6011,2860,28.8187,13.7118,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817768000,인천광역시 미추홀구 주안7동,인천광역시,미추홀구,주안7동,pre_reform_code_preserved_district_not_reorganized,12076,5832,6244,4790,2401,39.6655,19.8824,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817769000,인천광역시 미추홀구 주안8동,인천광역시,미추홀구,주안8동,pre_reform_code_preserved_district_not_reorganized,18565,9074,9491,6561,2979,35.3407,16.0463,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817770000,인천광역시 미추홀구 관교동,인천광역시,미추홀구,관교동,pre_reform_code_preserved_district_not_reorganized,13737,6755,6982,4930,2325,35.8885,16.9251,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817771000,인천광역시 미추홀구 문학동,인천광역시,미추홀구,문학동,pre_reform_code_preserved_district_not_reorganized,13771,7600,6171,3552,1517,25.7933,11.0159,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2818563000,인천광역시 연수구 옥련1동,인천광역시,연수구,옥련1동,pre_reform_code_preserved_district_not_reorganized,17213,8464,8749,5645,2544,32.7950,14.7795,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2818564000,인천광역시 연수구 옥련2동,인천광역시,연수구,옥련2동,pre_reform_code_preserved_district_not_reorganized,19634,9631,10003,5683,2342,28.9447,11.9283,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2818575000,인천광역시 연수구 선학동,인천광역시,연수구,선학동,pre_reform_code_preserved_district_not_reorganized,17446,9009,8437,6134,2581,35.1599,14.7942,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2818576100,인천광역시 연수구 연수1동,인천광역시,연수구,연수1동,pre_reform_code_preserved_district_not_reorganized,16134,8837,7297,5241,2140,32.4842,13.2639,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2818576200,인천광역시 연수구 연수2동,인천광역시,연수구,연수2동,pre_reform_code_preserved_district_not_reorganized,19047,9377,9670,5838,2404,30.6505,12.6214,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2818576300,인천광역시 연수구 연수3동,인천광역시,연수구,연수3동,pre_reform_code_preserved_district_not_reorganized,14331,6822,7509,5366,2404,37.4433,16.7748,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2818576600,인천광역시 연수구 청학동,인천광역시,연수구,청학동,pre_reform_code_preserved_district_not_reorganized,21860,11406,10454,8096,3412,37.0357,15.6084,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2818578000,인천광역시 연수구 동춘1동,인천광역시,연수구,동춘1동,pre_reform_code_preserved_district_not_reorganized,25402,12391,13011,6080,2063,23.9351,8.1214,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2818579000,인천광역시 연수구 동춘2동,인천광역시,연수구,동춘2동,pre_reform_code_preserved_district_not_reorganized,16506,8001,8505,4674,1744,28.3170,10.5659,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2818579500,인천광역시 연수구 동춘3동,인천광역시,연수구,동춘3동,pre_reform_code_preserved_district_not_reorganized,17476,8459,9017,4320,1731,24.7196,9.9050,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2818582000,인천광역시 연수구 송도1동,인천광역시,연수구,송도1동,pre_reform_code_preserved_district_not_reorganized,36894,18020,18874,7185,2561,19.4747,6.9415,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2818583000,인천광역시 연수구 송도2동,인천광역시,연수구,송도2동,pre_reform_code_preserved_district_not_reorganized,37221,18235,18986,4836,1572,12.9927,4.2234,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
