admin_dong_code_20260701,province_name,district_name_20260701,admin_dong_name,population_reference_date,household_reference_date,population_source_admin_code_20260630,population_source_district_name_20260630,population_code_changed_at_reform,population_district_changed_at_reform,total_population,population_age_65_plus,total_households,one_person_households,one_person_households_age_65_plus,population_age_65_plus_share,one_person_household_share,age_65_plus_one_person_share_of_age_65_plus_population
2829054000,인천광역시,검단구,당하동,2026-06-30,2026-07-31,2826071000,서구,true,true,43306,6045,18857,6422,1598,0.139588,0.340563,0.264351
2829055000,인천광역시,검단구,오류왕길동,2026-06-30,2026-07-31,2826072000,서구,true,true,25498,4612,10867,3552,1161,0.180877,0.326861,0.251735
2829056000,인천광역시,검단구,마전동,2026-06-30,2026-07-31,2826073000,서구,true,true,21012,3183,8212,2239,588,0.151485,0.272650,0.184731
2829057000,인천광역시,검단구,아라1동,2026-06-30,2026-07-31,2826075000,서구,true,true,46901,3209,18087,4403,763,0.068421,0.243435,0.237769
2829058000,인천광역시,검단구,아라2동,2026-06-30,2026-07-31,2826076000,서구,true,true,30883,2306,11481,2097,504,0.074669,0.182650,0.218560
2871025000,인천광역시,강화군,강화읍,2026-06-30,2026-07-31,2871025000,강화군,false,false,21381,6960,10633,4750,2284,0.325523,0.446722,0.328161
2871031000,인천광역시,강화군,선원면,2026-06-30,2026-07-31,2871031000,강화군,false,false,10204,3185,4815,1832,824,0.312132,0.380478,0.258713
2871032000,인천광역시,강화군,불은면,2026-06-30,2026-07-31,2871032000,강화군,false,false,4964,2487,2791,1375,821,0.501007,0.492655,0.330117
2871033000,인천광역시,강화군,길상면,2026-06-30,2026-07-31,2871033000,강화군,false,false,7217,3092,3781,1738,874,0.428433,0.459667,0.282665
2871034000,인천광역시,강화군,화도면,2026-06-30,2026-07-31,2871034000,강화군,false,false,4484,2242,2508,1257,703,0.500000,0.501196,0.313559
2871035000,인천광역시,강화군,양도면,2026-06-30,2026-07-31,2871035000,강화군,false,false,4200,2106,2239,1024,584,0.501429,0.457347,0.277303
2871036000,인천광역시,강화군,내가면,2026-06-30,2026-07-31,2871036000,강화군,false,false,2887,1530,1622,780,473,0.529962,0.480888,0.309150
2871037000,인천광역시,강화군,하점면,2026-06-30,2026-07-31,2871037000,강화군,false,false,4012,2125,2155,1043,615,0.529661,0.483991,0.289412
2871038000,인천광역시,강화군,양사면,2026-06-30,2026-07-31,2871038000,강화군,false,false,1928,1003,1064,529,319,0.520228,0.497180,0.318046
2871039000,인천광역시,강화군,송해면,2026-06-30,2026-07-31,2871039000,강화군,false,false,3185,1554,1673,731,447,0.487912,0.436940,0.287645
2871040000,인천광역시,강화군,교동면,2026-06-30,2026-07-31,2871040000,강화군,false,false,2628,1461,1502,745,463,0.555936,0.496005,0.316906
2871041000,인천광역시,강화군,삼산면,2026-06-30,2026-07-31,2871041000,강화군,false,false,1970,1057,1156,614,359,0.536548,0.531142,0.339640
2871042000,인천광역시,강화군,서도면,2026-06-30,2026-07-31,2871042000,강화군,false,false,355,195,217,122,73,0.549296,0.562212,0.374359
2871042500,인천광역시,강화군,서도면볼음출장소,2026-06-30,2026-07-31,2871042500,강화군,false,false,266,166,173,100,62,0.624060,0.578035,0.373494
2872031000,인천광역시,옹진군,북도면,2026-06-30,2026-07-31,2872031000,옹진군,false,false,1135,558,694,408,217,0.491630,0.587896,0.388889
2872031500,인천광역시,옹진군,북도면장봉출장소,2026-06-30,2026-07-31,2872031500,옹진군,false,false,948,469,563,331,160,0.494726,0.587922,0.341151
2872033000,인천광역시,옹진군,백령면,2026-06-30,2026-07-31,2872033000,옹진군,false,false,4442,1327,2778,1795,494,0.298739,0.646148,0.372268
2872034000,인천광역시,옹진군,대청면,2026-06-30,2026-07-31,2872034000,옹진군,false,false,1123,427,727,479,176,0.380232,0.658872,0.412178
2872034500,인천광역시,옹진군,대청면소청출장소,2026-06-30,2026-07-31,2872034500,옹진군,false,false,233,115,176,130,57,0.493562,0.738636,0.495652
2872035000,인천광역시,옹진군,덕적면,2026-06-30,2026-07-31,2872035000,옹진군,false,false,1836,949,1217,772,402,0.516885,0.634347,0.423604
2872036000,인천광역시,옹진군,영흥면,2026-06-30,2026-07-31,2872036000,옹진군,false,false,6451,2295,3819,2216,881,0.355759,0.580257,0.383878
2872037000,인천광역시,옹진군,자월면,2026-06-30,2026-07-31,2872037000,옹진군,false,false,927,454,597,368,183,0.489752,0.616415,0.403084
2872037500,인천광역시,옹진군,자월면이작출장소,2026-06-30,2026-07-31,2872037500,옹진군,false,false,358,176,227,135,80,0.491620,0.594714,0.454545
2872038000,인천광역시,옹진군,연평면,2026-06-30,2026-07-31,2872038000,옹진군,false,false,1887,495,1407,1086,258,0.262321,0.771855,0.521212
