source_date,mode,place_id,source_id,source_code,name,source_district,district,dong,admin_dong_code,latitude,longitude,coordinate_status,in_incheon
20260228,bus,bus:164000622,164000622,32062,e편한세상(109동 앞),연수구,연수구,송도5동,,37.4097907,126.6167643,valid_header_swapped,true
20260228,bus,bus:164000645,164000645,38643,e편한세상(109동앞),연수구,연수구,송도5동,,37.4093895,126.6167228,valid_header_swapped,true
20260228,bus,bus:161000662,161000662,35662,e편한세상1차(정문),중구,영종구,영종동,,37.4777891,126.5127003,valid_header_swapped,true
20260228,bus,bus:161000663,161000663,35663,e편한세상1차(정문),중구,영종구,영종동,,37.4780140,126.5124153,valid_header_swapped,true
20260228,bus,bus:168001554,168001554,89554,e편한세상검단어반센트로,서구,검단구,아라동,,37.5878331,126.7035661,valid_header_swapped,true
20260228,bus,bus:168001555,168001555,89555,e편한세상검단어반센트로,서구,검단구,아라동,,37.5876149,126.7034234,valid_header_swapped,true
20260228,bus,bus:167000038,167000038,41038,e편한세상계양,계양구,계양구,효성1동,,37.5279630,126.7137584,valid_header_swapped,true
20260228,bus,bus:167000037,167000037,41037,e편한세상계양,계양구,계양구,효성2동,,37.5278559,126.7136466,valid_header_swapped,true
20260228,bus,bus:166000928,166000928,40928,e편한세상부평그랑힐스정문,부평구,부평구,청천동,,37.5180551,126.7020511,valid_header_swapped,true
20260228,bus,bus:166000929,166000929,40929,e편한세상부평그랑힐스정문,부평구,부평구,청천동,,37.5180433,126.7022742,valid_header_swapped,true
20260228,bus,bus:166000930,166000930,40930,e편한세상부평그랑힐스후문,부평구,부평구,청천동,,37.5148149,126.7017210,valid_header_swapped,true
20260228,bus,bus:161000510,161000510,35510,e편한세상영종센텀베뉴정문,중구,영종구,영종동,,37.4898819,126.5526165,valid_header_swapped,true
20260228,bus,bus:161000674,161000674,35674,e편한세상영종오션하임,중구,영종구,영종1동,,37.4917237,126.5686348,valid_header_swapped,true
20260228,bus,bus:161000761,161000761,35761,e편한세상영종오션하임,중구,영종구,영종1동,,37.4905754,126.5680764,valid_header_swapped,true
20260228,bus,bus:161000646,161000646,35646,e편한세상영종하늘도시,중구,영종구,영종동,,37.4769074,126.5130421,valid_header_swapped,true
20260228,bus,bus:161000647,161000647,35647,e편한세상영종하늘도시,중구,영종구,영종동,,37.4757972,126.5140008,valid_header_swapped,true
20260228,bus,bus:163000159,163000159,37159,e편한세상주안에듀서밋아파트,미추홀구,미추홀구,주안7동,,37.4442485,126.6758361,valid_header_swapped,true
20260228,bus,bus:163000158,163000158,37158,e편한세상주안에듀서밋아파트,미추홀구,미추홀구,학익2동,,37.4440764,126.6757148,valid_header_swapped,true
20260228,bus,bus:163000081,163000081,37081,gym80fitness,미추홀구,미추홀구,용현5동,,37.4517586,126.6348216,valid_header_swapped,true
20260228,bus,bus:168000814,168000814,42814,㈜한슬,서구,검단구,오류왕길동,,37.5943735,126.6057191,valid_header_swapped,true
20260228,bus,bus:168001365,168001365,89365,가경공원,서구,서해구,가정동,,37.5286654,126.6695561,valid_header_swapped,true
