geometry_zone_id,geometry_adm_cd_20250630,geometry_district_name_20250630,geometry_dong_name_20250630,geometry_base_date,current_admin_dong_count,current_admin_dong_codes_20260701,current_district_names_20260701,current_dong_names_20260701,map_unit_status,aggregation_required,metric_handling,notes
vworld_sgis_20250630:23060520,23060520,부평구,부평2동,20250630,1,2823752000,부평구,부평2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060530,23060530,부평구,부평3동,20250630,1,2823753000,부평구,부평3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060540,23060540,부평구,부평4동,20250630,1,2823754000,부평구,부평4동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060550,23060550,부평구,부평5동,20250630,1,2823755000,부평구,부평5동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060560,23060560,부평구,부평6동,20250630,1,2823756000,부평구,부평6동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060570,23060570,부평구,산곡1동,20250630,1,2823757000,부평구,산곡1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060580,23060580,부평구,산곡2동,20250630,1,2823758000,부평구,산곡2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060590,23060590,부평구,산곡3동,20250630,1,2823758100,부평구,산곡3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060600,23060600,부평구,산곡4동,20250630,1,2823758200,부평구,산곡4동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060610,23060610,부평구,청천1동,20250630,1,2823759100,부평구,청천1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060620,23060620,부평구,청천2동,20250630,1,2823759200,부평구,청천2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060630,23060630,부평구,갈산1동,20250630,1,2823764100,부평구,갈산1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060640,23060640,부평구,갈산2동,20250630,1,2823764200,부평구,갈산2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060650,23060650,부평구,삼산1동,20250630,1,2823764600,부평구,삼산1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060660,23060660,부평구,부개1동,20250630,1,2823765000,부평구,부개1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060670,23060670,부평구,부개2동,20250630,1,2823766000,부평구,부개2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060680,23060680,부평구,부개3동,20250630,1,2823766100,부평구,부개3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060690,23060690,부평구,일신동,20250630,1,2823767000,부평구,일신동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060700,23060700,부평구,십정1동,20250630,1,2823768000,부평구,십정1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060710,23060710,부평구,십정2동,20250630,1,2823769000,부평구,십정2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060720,23060720,부평구,삼산2동,20250630,1,2823764800,부평구,삼산2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23070510,23070510,계양구,효성1동,20250630,1,2824560100,계양구,효성1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23070520,23070520,계양구,효성2동,20250630,1,2824560200,계양구,효성2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23070530,23070530,계양구,계산1동,20250630,1,2824561100,계양구,계산1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23070540,23070540,계양구,계산2동,20250630,1,2824561200,계양구,계산2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23070550,23070550,계양구,계산3동,20250630,1,2824561300,계양구,계산3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23070560,23070560,계양구,작전1동,20250630,1,2824562100,계양구,작전1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23070570,23070570,계양구,작전2동,20250630,1,2824562200,계양구,작전2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23070580,23070580,계양구,작전서운동,20250630,1,2824564000,계양구,작전서운동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23070610,23070610,계양구,계양2동,20250630,1,2824572000,계양구,계양2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23070620,23070620,계양구,계산4동,20250630,1,2824561400,계양구,계산4동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23070630,23070630,계양구,계양1동,20250630,1,2824571000,계양구,계양1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23070640,23070640,계양구,계양3동,20250630,1,2824573000,계양구,계양3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23080510,23080510,서구,검암경서동,20250630,1,2827551500,서해구,검암경서동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
