reference_year,reference_period,source_admin_code,source_admin_name,source_sido_name,source_sigungu_name,source_eupmyeondong_name,harmonization_status,households_total,one_person_households,two_person_households,three_person_households,four_person_households,five_person_households,six_person_households,seven_person_households,eight_person_households,nine_person_households,ten_plus_person_households,one_person_household_share_pct,source_file
2021,2021-12,2817771000,인천광역시 미추홀구 문학동,인천광역시,미추홀구,문학동,pre_reform_code_preserved_district_not_reorganized,7536,4031,1602,921,732,198,40,7,3,1,1,53.4899,jumin_households_size_202112.csv
2021,2021-12,2818563000,인천광역시 연수구 옥련1동,인천광역시,연수구,옥련1동,pre_reform_code_preserved_district_not_reorganized,8292,2826,2057,1694,1342,313,47,11,0,2,0,34.0810,jumin_households_size_202112.csv
2021,2021-12,2818564000,인천광역시 연수구 옥련2동,인천광역시,연수구,옥련2동,pre_reform_code_preserved_district_not_reorganized,7971,2146,1911,1835,1621,367,74,12,2,1,2,26.9226,jumin_households_size_202112.csv
2021,2021-12,2818575000,인천광역시 연수구 선학동,인천광역시,연수구,선학동,pre_reform_code_preserved_district_not_reorganized,8205,3574,1994,1352,973,230,62,18,1,0,1,43.5588,jumin_households_size_202112.csv
2021,2021-12,2818576100,인천광역시 연수구 연수1동,인천광역시,연수구,연수1동,pre_reform_code_preserved_district_not_reorganized,9810,4963,1999,1413,1068,296,52,15,3,0,1,50.5912,jumin_households_size_202112.csv
2021,2021-12,2818576200,인천광역시 연수구 연수2동,인천광역시,연수구,연수2동,pre_reform_code_preserved_district_not_reorganized,9887,4191,2311,1661,1359,296,42,18,6,1,2,42.3890,jumin_households_size_202112.csv
2021,2021-12,2818576300,인천광역시 연수구 연수3동,인천광역시,연수구,연수3동,pre_reform_code_preserved_district_not_reorganized,7462,2947,1923,1354,996,199,32,6,3,1,1,39.4934,jumin_households_size_202112.csv
2021,2021-12,2818576600,인천광역시 연수구 청학동,인천광역시,연수구,청학동,pre_reform_code_preserved_district_not_reorganized,12682,6222,2938,1924,1174,325,77,17,2,3,0,49.0617,jumin_households_size_202112.csv
2021,2021-12,2818578000,인천광역시 연수구 동춘1동,인천광역시,연수구,동춘1동,pre_reform_code_preserved_district_not_reorganized,9299,1863,2239,2453,2184,465,68,12,6,3,6,20.0344,jumin_households_size_202112.csv
2021,2021-12,2818579000,인천광역시 연수구 동춘2동,인천광역시,연수구,동춘2동,pre_reform_code_preserved_district_not_reorganized,7003,1581,1831,1694,1558,279,49,6,5,0,0,22.5760,jumin_households_size_202112.csv
2021,2021-12,2818579500,인천광역시 연수구 동춘3동,인천광역시,연수구,동춘3동,pre_reform_code_preserved_district_not_reorganized,5833,605,1090,1568,1951,492,93,27,5,2,0,10.3720,jumin_households_size_202112.csv
2021,2021-12,2818582000,인천광역시 연수구 송도1동,인천광역시,연수구,송도1동,pre_reform_code_preserved_district_not_reorganized,14547,4777,2350,2911,3441,814,188,46,17,2,1,32.8384,jumin_households_size_202112.csv
2021,2021-12,2818583000,인천광역시 연수구 송도2동,인천광역시,연수구,송도2동,pre_reform_code_preserved_district_not_reorganized,11831,1682,1862,3174,4018,908,137,37,10,2,1,14.2169,jumin_households_size_202112.csv
2021,2021-12,2818584000,인천광역시 연수구 송도3동,인천광역시,연수구,송도3동,pre_reform_code_preserved_district_not_reorganized,18832,5458,3329,4487,4559,836,114,30,10,5,4,28.9826,jumin_households_size_202112.csv
2021,2021-12,2818585000,인천광역시 연수구 송도4동,인천광역시,연수구,송도4동,pre_reform_code_preserved_district_not_reorganized,9380,2311,1664,2405,2502,422,53,13,5,3,2,24.6375,jumin_households_size_202112.csv
2021,2021-12,2818586000,인천광역시 연수구 송도5동,인천광역시,연수구,송도5동,pre_reform_code_preserved_district_not_reorganized,14950,3268,3435,3984,3528,629,84,15,5,0,2,21.8595,jumin_households_size_202112.csv
