reference_year,reference_period,source_admin_code,source_admin_name,source_sido_name,source_sigungu_name,source_eupmyeondong_name,harmonization_status,population_total,population_age_60_plus_exact,population_age_70_plus_exact,population_age_65_plus_status,households_total,one_person_households,one_person_household_share_pct,one_person_age_source_available,one_person_age_60_plus_exact,one_person_age_70_plus_exact,one_person_age_65_plus_status,source_population_file,source_households_file,source_one_person_age_file
2021,2021-12,2817759000,인천광역시 미추홀구 학익2동,인천광역시,미추홀구,학익2동,pre_reform_code_preserved_district_not_reorganized,18265,5257,2449,not_calculated_source_aggregates_ages_60_to_69,8072,2885,35.7408,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817760000,인천광역시 미추홀구 도화1동,인천광역시,미추홀구,도화1동,pre_reform_code_preserved_district_not_reorganized,23296,6053,2731,not_calculated_source_aggregates_ages_60_to_69,11206,4732,42.2274,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817761000,인천광역시 미추홀구 도화2.3동,인천광역시,미추홀구,도화2.3동,pre_reform_code_preserved_district_not_reorganized,33023,7440,3030,not_calculated_source_aggregates_ages_60_to_69,14587,5409,37.0810,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817762000,인천광역시 미추홀구 주안1동,인천광역시,미추홀구,주안1동,pre_reform_code_preserved_district_not_reorganized,20533,3757,1406,not_calculated_source_aggregates_ages_60_to_69,11922,7051,59.1428,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817763000,인천광역시 미추홀구 주안2동,인천광역시,미추홀구,주안2동,pre_reform_code_preserved_district_not_reorganized,16785,5363,2493,not_calculated_source_aggregates_ages_60_to_69,8442,3824,45.2973,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817764000,인천광역시 미추홀구 주안3동,인천광역시,미추홀구,주안3동,pre_reform_code_preserved_district_not_reorganized,8762,2813,1339,not_calculated_source_aggregates_ages_60_to_69,4470,2156,48.2327,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817765000,인천광역시 미추홀구 주안4동,인천광역시,미추홀구,주안4동,pre_reform_code_preserved_district_not_reorganized,13460,4968,2417,not_calculated_source_aggregates_ages_60_to_69,7052,3446,48.8656,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817766000,인천광역시 미추홀구 주안5동,인천광역시,미추홀구,주안5동,pre_reform_code_preserved_district_not_reorganized,20674,5581,2446,not_calculated_source_aggregates_ages_60_to_69,10199,4543,44.5436,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817767000,인천광역시 미추홀구 주안6동,인천광역시,미추홀구,주안6동,pre_reform_code_preserved_district_not_reorganized,21988,5181,2220,not_calculated_source_aggregates_ages_60_to_69,10116,4138,40.9055,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817768000,인천광역시 미추홀구 주안7동,인천광역시,미추홀구,주안7동,pre_reform_code_preserved_district_not_reorganized,12524,4334,1984,not_calculated_source_aggregates_ages_60_to_69,6071,2549,41.9865,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817769000,인천광역시 미추홀구 주안8동,인천광역시,미추홀구,주안8동,pre_reform_code_preserved_district_not_reorganized,20995,5819,2476,not_calculated_source_aggregates_ages_60_to_69,9351,3346,35.7823,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817770000,인천광역시 미추홀구 관교동,인천광역시,미추홀구,관교동,pre_reform_code_preserved_district_not_reorganized,15123,4330,1786,not_calculated_source_aggregates_ages_60_to_69,6326,2025,32.0107,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
