source_date,old_admin_dong_code,old_district_name,old_dong_name,admin_dong_code_20260701,district_name_20260701,dong_name_20260701,mapping_method
2026-06-30,2826056100,서구,석남3동,2827556100,서해구,석남3동,unique_normalized_dong_name
2026-06-30,2826057500,서구,신현원창동,2827557500,서해구,신현원창동,unique_normalized_dong_name
2026-06-30,2826058000,서구,가좌1동,2827558000,서해구,가좌1동,unique_normalized_dong_name
2026-06-30,2826059000,서구,가좌2동,2827559000,서해구,가좌2동,unique_normalized_dong_name
2026-06-30,2826060000,서구,가좌3동,2827560000,서해구,가좌3동,unique_normalized_dong_name
2026-06-30,2826061000,서구,가좌4동,2827561000,서해구,가좌4동,unique_normalized_dong_name
2026-06-30,2826068000,서구,검단동,2829051000,검단구,검단동,unique_normalized_dong_name
2026-06-30,2826069000,서구,불로대곡동,2829052000,검단구,불로대곡동,unique_normalized_dong_name
2026-06-30,2826070000,서구,원당동,2829053000,검단구,원당동,unique_normalized_dong_name
2026-06-30,2826071000,서구,당하동,2829054000,검단구,당하동,unique_normalized_dong_name
2026-06-30,2826072000,서구,오류왕길동,2829055000,검단구,오류왕길동,unique_normalized_dong_name
2026-06-30,2826073000,서구,마전동,2829056000,검단구,마전동,unique_normalized_dong_name
2026-06-30,2826075000,서구,아라1동,2829057000,검단구,아라1동,unique_normalized_dong_name
2026-06-30,2826076000,서구,아라2동,2829058000,검단구,아라2동,unique_normalized_dong_name
2026-06-30,2871025000,강화군,강화읍,2871025000,강화군,강화읍,unique_normalized_dong_name
2026-06-30,2871031000,강화군,선원면,2871031000,강화군,선원면,unique_normalized_dong_name
2026-06-30,2871032000,강화군,불은면,2871032000,강화군,불은면,unique_normalized_dong_name
2026-06-30,2871033000,강화군,길상면,2871033000,강화군,길상면,unique_normalized_dong_name
2026-06-30,2871034000,강화군,화도면,2871034000,강화군,화도면,unique_normalized_dong_name
2026-06-30,2871035000,강화군,양도면,2871035000,강화군,양도면,unique_normalized_dong_name
2026-06-30,2871036000,강화군,내가면,2871036000,강화군,내가면,unique_normalized_dong_name
2026-06-30,2871037000,강화군,하점면,2871037000,강화군,하점면,unique_normalized_dong_name
2026-06-30,2871038000,강화군,양사면,2871038000,강화군,양사면,unique_normalized_dong_name
2026-06-30,2871039000,강화군,송해면,2871039000,강화군,송해면,unique_normalized_dong_name
2026-06-30,2871040000,강화군,교동면,2871040000,강화군,교동면,unique_normalized_dong_name
2026-06-30,2871041000,강화군,삼산면,2871041000,강화군,삼산면,unique_normalized_dong_name
2026-06-30,2871042000,강화군,서도면,2871042000,강화군,서도면,unique_normalized_dong_name
2026-06-30,2871042500,강화군,서도면볼음출장소,2871042500,강화군,서도면볼음출장소,unique_normalized_dong_name
2026-06-30,2872031000,옹진군,북도면,2872031000,옹진군,북도면,unique_normalized_dong_name
2026-06-30,2872031500,옹진군,북도면장봉출장소,2872031500,옹진군,북도면장봉출장소,unique_normalized_dong_name
2026-06-30,2872033000,옹진군,백령면,2872033000,옹진군,백령면,unique_normalized_dong_name
2026-06-30,2872034000,옹진군,대청면,2872034000,옹진군,대청면,unique_normalized_dong_name
2026-06-30,2872034500,옹진군,대청면소청출장소,2872034500,옹진군,대청면소청출장소,unique_normalized_dong_name
2026-06-30,2872035000,옹진군,덕적면,2872035000,옹진군,덕적면,unique_normalized_dong_name
2026-06-30,2872036000,옹진군,영흥면,2872036000,옹진군,영흥면,unique_normalized_dong_name
2026-06-30,2872037000,옹진군,자월면,2872037000,옹진군,자월면,unique_normalized_dong_name
2026-06-30,2872037500,옹진군,자월면이작출장소,2872037500,옹진군,자월면이작출장소,unique_normalized_dong_name
2026-06-30,2872038000,옹진군,연평면,2872038000,옹진군,연평면,unique_normalized_dong_name
