facility_id,facility_name,district,legal_dong,address,category_major,category_detail,facility_form,road_name_normalized,road_building_main,road_building_sub,matched_pnu,juso_current_district,juso_legal_dong,juso_admin_dong_code,juso_admin_dong_name,geocode_status,geocode_method,match_confidence,matched_juso_building_count,matched_vworld_polygon_count,source_latitude,source_longitude,geocoded_latitude,geocoded_longitude,best_latitude,best_longitude,coordinate_source,privacy_scope,requires_public_export_policy_review
fac_5e90c50a7bff199f,(A)비지팅엔젤스 인천부평재가방문요양지점,부평구,부평동,"인천광역시 부평구 부평대로 9, 7층 10호 (부평동, 문화드림빌)",노인복지,방문목욕 | 방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,부평대로,9,0,2823710100105490036,부평구,부평동,2823751000,부평1동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.49208312,126.7226465,37.49208312,126.7226465,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5e9561311140876b,미추홀돌봄의집,미추홀구,숭의동,"인천광역시 미추홀구 경인로34번길 20, 6층 (숭의동)",노인복지,재가노인복지시설,,경인로34번길,20,0,2817710100101900004,미추홀구,숭의동,2817751000,숭의2동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,37.46303566,126.6472695,37.46310654,126.64727739,37.46303566,126.6472695,source_dataset_coordinate,private_analysis_only,true
fac_5e98ff30ec7fc18e,인화재가노인복지센터,남동구,논현동,"인천광역시 남동구 소래역로 50, 402-1호 (논현동)",노인복지,방문목욕 | 방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,소래역로,50,0,2820011000106710002,남동구,논현동,2820069000,논현1동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.40158743,126.73417555,37.40158743,126.73417555,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5eb1e759fe788b61,가은재가복지센터,미추홀구,주안동,"인천광역시 미추홀구 경인로 372 (주안동, 아인애비뉴 2층 2150호)",노인복지,재가노인복지시설 | 재가노인복지시설 방문간호 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관,경인로,372,0,2817710500100000000,미추홀구,주안동,2817765000,주안4동,matched_juso_pnu_no_vworld_geometry,exact_road_name_building_number_unique_pnu,high_address_match,5,0,37.4580182,126.6811632,,,37.4580182,126.6811632,source_dataset_coordinate,private_analysis_only,true
fac_5eb8f7eddc5a7959,함께걷기키파,계양구,계산동,"인천광역시 계양구 계산로 3, 2층(계산동)",아동·돌봄,지역아동센터,이용,계산로,3,0,2824510200109380015,계양구,계산동,2824561100,계산1동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.54328806,126.71899321,37.54328806,126.71899321,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5ecd618e5548f002,세종방문요양센터,계양구,작전동,"인천광역시 계양구 봉오대로 683 306호 (작전동, 성암빌딩)",노인복지,재가노인복지시설 방문요양,장기요양기관,봉오대로,683,0,2824510300108620039,계양구,작전동,2824562200,작전2동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.53100547,126.7248885,37.53100547,126.7248885,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5eee7bdd74f7e656,행복드림 어르신주야간보호센터,미추홀구,주안동,"인천광역시 미추홀구 주안로 86, 301호 (주안동, 우신빌딩)",노인복지,재가노인복지시설 | 재가노인복지시설 주야간보호 | 주야간보호,장기요양기관 | 재가복지,주안로,86,0,,,,,,ambiguous_juso_pnu,,none,2,0,37.46385022,126.6792217,,,37.46385022,126.6792217,source_dataset_coordinate,private_analysis_only,true
fac_5ef219304424d115,영광방문요양센터,계양구,작전동,"인천광역시 계양구 봉오대로677번길 29, 3층 (작전동)",노인복지,방문요양 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,봉오대로677번길,29,0,2824510300108540018,계양구,작전동,2824562200,작전2동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.53346506,126.7240438,37.53346506,126.7240438,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5efea7729ad3528d,마하나임 재가복지센터,서구,청라동,"인천광역시 서구 청라커낼로 252 201동1307호 (청라동, 청라 롯데캐슬)",노인복지,방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,청라커낼로,252,0,2827511100101590001,서해구,청라동,2827553700,청라2동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,13,4,,,37.53027202,126.64779864,37.53027202,126.64779864,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5f102a7cb88efdf2,중구노인복지관,중구,,인천광역시 중구 인천 중구 제물량로80번길 3-24,노인복지,노인복지관,이용,제물량로80번길,3,24,2812513400100230000,제물포구,신흥동2가,2812553000,신흥동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,3,6,,,37.46796278,126.63399061,37.46796278,126.63399061,juso_pnu_vworld_representative_point,private_analysis_only,true
