current_admin_dong_code_20260701,current_district_name_20260701,current_dong_name_20260701,geometry_zone_id,geometry_adm_cd_20250630,geometry_district_name_20250630,geometry_dong_name_20250630,geometry_base_date,mapping_status,mapping_method,mapping_confidence,aggregation_required,aggregation_group_size,metric_handling,notes
2817765000,미추홀구,주안4동,vworld_sgis_20250630:23090680,23090680,미추홀구,주안4동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2817766000,미추홀구,주안5동,vworld_sgis_20250630:23090690,23090690,미추홀구,주안5동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2817767000,미추홀구,주안6동,vworld_sgis_20250630:23090700,23090700,미추홀구,주안6동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2817768000,미추홀구,주안7동,vworld_sgis_20250630:23090710,23090710,미추홀구,주안7동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2817769000,미추홀구,주안8동,vworld_sgis_20250630:23090720,23090720,미추홀구,주안8동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2817770000,미추홀구,관교동,vworld_sgis_20250630:23090730,23090730,미추홀구,관교동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2817771000,미추홀구,문학동,vworld_sgis_20250630:23090740,23090740,미추홀구,문학동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2818563000,연수구,옥련1동,vworld_sgis_20250630:23040510,23040510,연수구,옥련1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2818564000,연수구,옥련2동,vworld_sgis_20250630:23040600,23040600,연수구,옥련2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2818575000,연수구,선학동,vworld_sgis_20250630:23040520,23040520,연수구,선학동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
