source_stop_number,source_stop_name,normalized_stop_name,stop_match_key,match_status,match_candidate_count,same_number_candidate_count,candidate_place_ids,candidate_names,place_id,master_source_id,master_stop_name,source_district,district,dong,latitude,longitude,coordinate_status,valid_wgs84,in_incheon,point_status,source_dates,route_row_count,distinct_route_count,distinct_route_number_count,distinct_route_direction_count,distinct_direction_count,directions,route_ids,route_numbers,major_via_yes_row_count
35797,인천옹진농협본점,인천옹진농협본점,35797|인천옹진농협본점,matched,1,1,bus:161000797,인천옹진농협본점,bus:161000797,161000797,인천옹진농협본점,중구,제물포구,신흥동,37.4637610,126.6385088,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,5,5,5,5,2,상행;하행,165000004;165000026;165000041;165000058;168000012,112;23;4;45;인천e음12,0
35798,도원동행정복지센터(앞),도원동행정복지센터앞,35798|도원동행정복지센터앞,matched,1,1,bus:161000798,도원동행정복지센터(앞),bus:161000798,161000798,도원동행정복지센터(앞),중구,제물포구,도원동,37.4682577,126.6379403,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,하행,168000012,인천e음12,0
35799,신흥동주민자치센터,신흥동주민자치센터,35799|신흥동주민자치센터,matched,1,1,bus:161000799,신흥동주민자치센터,bus:161000799,161000799,신흥동주민자치센터,중구,제물포구,신흥동,37.4650144,126.6363736,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,하행,168000012,인천e음12,0
35800,인천반도체고등학교,인천반도체고등학교,35800|인천반도체고등학교,matched,1,1,bus:161000800,인천반도체고등학교,bus:161000800,161000800,인천반도체고등학교,중구,제물포구,율목동,37.4701157,126.6365056,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,하행,168000012,인천e음12,1
35801,율목동행정복지센터,율목동행정복지센터,35801|율목동행정복지센터,matched,1,1,bus:161000801,율목동행정복지센터,bus:161000801,161000801,율목동행정복지센터,중구,제물포구,율목동,37.4696995,126.6357870,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,하행,168000012,인천e음12,0
35802,율목오거리,율목오거리,35802|율목오거리,matched,1,1,bus:161000802,율목오거리,bus:161000802,161000802,율목오거리,중구,제물포구,율목동,37.4710180,126.6344345,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,하행,168000012,인천e음12,0
35803,인천기독병원,인천기독병원,35803|인천기독병원,matched,1,1,bus:161000803,인천기독병원,bus:161000803,161000803,인천기독병원,중구,제물포구,동인천동,37.4720166,126.6318935,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,하행,168000012,인천e음12,1
35804,애관극장,애관극장,35804|애관극장,matched,1,1,bus:161000804,애관극장,bus:161000804,161000804,애관극장,중구,제물포구,동인천동,37.4721612,126.6300159,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,하행,168000012,인천e음12,0
35805,동인천동행정복지센터,동인천동행정복지센터,35805|동인천동행정복지센터,matched,1,1,bus:161000805,동인천동행정복지센터,bus:161000805,161000805,동인천동행정복지센터,중구,제물포구,동인천동,37.4767276,126.6290007,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,하행,168000012,인천e음12,0
35806,홍예문·공영주차장,홍예문공영주차장,35806|홍예문공영주차장,matched,1,1,bus:161000806,홍예문·공영주차장,bus:161000806,161000806,홍예문·공영주차장,중구,제물포구,동인천동,37.4754455,126.6264751,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,하행,168000012,인천e음12,0
